Plot Title: 9735547_SM_LM_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371, LBL: LM_B1R)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280, LBL: LM_B1R)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166, LBL: LM_B1)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418, LBL: LM_B1R)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date.Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST.between,Air.T,RH,,SR.up,SR.left,SR.right,
LM,control,6/15/2019 1:50,0.0083,0.1492,1.2,1.2,1.2,58.541,39.124,83.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 2:00,0.0083,0.1492,1.2,1.2,1.2,58.368,41.508,77.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 2:10,0.0083,0.1485,1.2,1.2,1.2,58.195,40.998,76.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 2:20,0.0083,0.1492,1.2,1.2,1.2,58.023,38.084,82.5,-0.1835,0.6,0.6,0.6,4.387
LM,control,6/15/2019 2:30,0.0083,0.1485,1.2,1.2,1.2,57.85,36.891,85.6,-0.1835,0.6,0.6,0.6,4.387
LM,control,6/15/2019 2:40,0.0083,0.1485,1.2,1.2,1.2,57.679,36.986,84.6,-0.1835,0.6,0.6,0.6,4.387
LM,control,6/15/2019 2:50,0.0083,0.1485,1.2,1.2,1.2,57.506,37.179,86.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 3:00,0.0083,0.1485,1.2,1.2,1.2,57.333,36.795,84.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 3:10,0.0083,0.1477,1.2,1.2,1.2,57.16,34.468,87.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 3:20,0.0083,0.1477,1.2,1.2,1.2,56.988,33.732,90.2,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 3:30,0.0083,0.1477,1.2,1.2,1.2,56.815,33.633,90,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 3:40,0.009,0.1477,1.2,1.2,1.2,56.642,34.174,88.3,-0.1835,0.6,0.6,0.6,4.406
LM,control,6/15/2019 3:50,0.009,0.1477,1.2,1.2,1.2,56.469,33.485,90.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:00,0.009,0.1477,1.2,1.2,1.2,56.295,33.633,92,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:10,0.009,0.1485,1.2,1.2,1.2,56.122,33.287,91.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:20,0.009,0.1477,1.2,1.2,1.2,55.949,34.468,88.9,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:30,0.009,0.1477,1.2,1.2,1.2,55.776,33.435,90,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:40,0.009,0.1477,1.2,1.2,1.2,55.602,33.287,89.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 4:50,0.009,0.147,1.2,1.2,1.2,55.472,32.491,91.8,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 5:00,0.0097,0.147,1.2,1.2,1.2,55.299,32.342,91.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 5:10,0.0097,0.147,1.2,1.2,1.2,55.125,32.691,90.3,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 5:20,0.0097,0.1463,1.2,1.2,1.2,54.995,32.193,91.8,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 5:30,0.0097,0.1463,1.2,1.2,1.2,54.82,33.188,90.9,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/15/2019 5:40,0.0097,0.1463,6.2,1.2,1.2,54.691,32.342,90.5,-0.1835,3.1,0.6,0.6,4.375
LM,control,6/15/2019 5:50,0.0097,0.1463,18.7,1.2,1.2,54.516,32.491,90.9,-0.1835,6.9,0.6,0.6,4.375
LM,control,6/15/2019 6:00,0.0105,0.1463,33.7,1.2,1.2,54.387,31.591,91.6,-0.1835,11.9,0.6,0.6,4.381
LM,control,6/15/2019 6:10,0.009,0.1463,51.2,1.2,1.2,54.212,32.443,92.8,-0.1835,19.4,0.6,0.6,4.393
LM,control,6/15/2019 6:20,0.009,0.1463,63.7,1.2,1.2,54.037,32.293,91.1,-0.1835,20.6,0.6,0.6,4.418
LM,control,6/15/2019 6:30,0.009,0.1463,78.7,1.2,1.2,53.908,32.243,93.2,-0.1835,26.9,0.6,0.6,4.43
LM,control,6/15/2019 6:40,0.009,0.1463,303.7,11.2,11.2,53.776,36.795,92,-0.1835,181.9,19.4,23.1,4.418
LM,control,6/15/2019 6:50,0.0097,0.1463,356.2,13.7,13.7,53.69,39.031,88.5,-0.1835,205.6,23.1,26.9,4.442
LM,control,6/15/2019 7:00,0.0097,0.1463,408.7,16.2,16.2,53.602,41.648,84.7,-0.1835,230.6,25.6,29.4,4.406
LM,control,6/15/2019 7:10,0.0097,0.1463,486.2,18.7,18.7,53.515,43.624,80.2,-0.1835,269.4,30.6,33.1,4.412
LM,control,6/15/2019 7:20,0.0097,0.1463,586.2,21.2,21.2,53.472,46.301,74.1,-0.1835,319.4,34.4,36.9,4.4
LM,control,6/15/2019 7:30,0.009,0.1463,666.2,26.2,23.7,53.472,49.516,66.6,-0.1835,356.9,39.4,40.6,4.412
LM,control,6/15/2019 7:40,0.0097,0.1463,681.2,26.2,23.7,53.515,50.002,66.8,-0.1835,355.6,38.1,39.4,4.4
LM,control,6/15/2019 7:50,0.0097,0.1463,856.2,31.2,28.7,53.559,52.115,64.4,-0.1835,453.1,46.9,46.9,4.418
LM,control,6/15/2019 8:00,0.0097,0.1463,856.2,31.2,28.7,53.645,53.472,62,-0.1835,448.1,45.6,45.6,4.4
LM,control,6/15/2019 8:10,0.009,0.1463,671.2,23.7,21.2,53.776,52.509,58.2,-0.1835,340.6,33.1,33.1,4.418
LM,control,6/15/2019 8:20,0.009,0.1463,1001.2,36.2,33.7,53.908,55.038,55.8,-0.1835,518.1,50.6,50.6,4.4
LM,control,6/15/2019 8:30,0.0083,0.1463,948.7,33.7,31.2,54.082,57.506,56.8,-0.1835,485.6,46.9,45.6,4.43
LM,control,6/15/2019 8:40,0.0083,0.1463,1223.7,43.7,38.7,54.343,58.626,51.4,-0.1835,635.6,60.6,60.6,4.418
LM,control,6/15/2019 8:50,0.0083,0.147,978.7,33.7,31.2,54.604,58.712,51.1,-0.1835,499.4,46.9,45.6,4.4
LM,control,6/15/2019 9:00,0.0083,0.147,893.7,31.2,28.7,54.82,59.572,49.8,-0.1835,453.1,41.9,41.9,4.418
LM,control,6/15/2019 9:10,0.0076,0.147,888.7,31.2,26.2,55.125,59.745,49.2,-0.1835,449.4,41.9,40.6,4.418
LM,control,6/15/2019 9:20,0.0076,0.147,1041.2,33.7,31.2,55.429,60.433,45.9,-0.1835,528.1,48.1,46.9,4.4
LM,control,6/15/2019 9:30,0.0076,0.147,1271.2,43.7,38.7,55.776,61.075,49.7,-0.1835,653.1,59.4,58.1,4.442
LM,control,6/15/2019 9:40,0.0076,0.147,1121.2,38.7,33.7,56.122,61.376,47.2,-0.1835,573.1,51.9,50.6,4.418
LM,control,6/15/2019 9:50,0.0076,0.147,1473.7,51.2,46.2,56.469,62.362,41.8,-0.1835,758.1,69.4,65.6,4.418
LM,control,6/15/2019 10:00,0.0076,0.1477,1558.7,53.7,48.7,56.815,63.775,43,-0.1835,801.9,73.1,69.4,4.393
LM,control,6/15/2019 10:10,0.0076,0.1477,1166.2,56.2,51.2,57.204,65.658,43.6,-0.1835,826.9,75.6,71.9,4.418
LM,control,6/15/2019 10:20,0.0083,0.1485,563.7,46.2,41.2,57.592,65.017,43.8,-0.1835,698.1,63.1,60.6,4.406
LM,control,6/15/2019 10:30,0.0076,0.1485,1006.2,33.7,31.2,57.936,61.59,45.7,-0.1835,510.6,44.4,43.1,4.393
LM,control,6/15/2019 10:40,0.0076,0.1485,1201.2,41.2,36.2,58.325,62.748,43.4,-0.1835,609.4,53.1,49.4,4.538
LM,control,6/15/2019 10:50,0.0076,0.1485,1381.2,46.2,41.2,58.798,64.204,41,-0.1835,709.4,61.9,58.1,4.418
LM,control,6/15/2019 11:00,0.0076,0.1492,1881.2,66.2,56.2,59.229,64.974,42.8,-0.1835,976.9,84.4,78.1,4.4
LM,control,6/15/2019 11:10,0.0076,0.1492,2041.2,71.2,61.2,59.659,66.643,41.9,-0.1835,1078.1,91.9,84.4,4.393
LM,control,6/15/2019 11:20,0.0076,0.1499,1996.2,68.7,61.2,60.132,68.356,37.8,-0.1835,1058.1,89.4,81.9,4.43
LM,control,6/15/2019 11:30,0.0076,0.1499,2061.2,71.2,61.2,60.604,67.757,35.7,-0.1835,1095.6,91.9,83.1,4.418
LM,control,6/15/2019 11:40,0.0076,0.1499,1941.2,66.2,58.7,61.075,67.372,36.9,-0.1835,1030.6,85.6,78.1,4.4
LM,control,6/15/2019 11:50,0.0076,0.1506,1796.2,61.2,53.7,61.633,66.515,40,-0.1835,954.4,79.4,71.9,4.393
LM,control,6/15/2019 12:00,0.0068,0.1506,2008.7,68.7,61.2,62.105,66.857,41.2,-0.1835,1074.4,88.1,79.4,4.43
LM,control,6/15/2019 12:10,0.0068,0.1506,781.2,23.7,23.7,62.62,64.503,42.7,-0.1835,391.9,33.1,31.9,4.412
LM,control,6/15/2019 12:20,0.0068,0.1506,1793.7,58.7,53.7,63.133,66.087,41,-0.1835,948.1,76.9,69.4,4.4
LM,control,6/15/2019 12:30,0.0068,0.1514,1993.7,66.2,58.7,63.648,68.828,35.8,-0.1835,1060.6,84.4,76.9,4.393
LM,control,6/15/2019 12:40,0.0068,0.1514,2048.7,66.2,61.2,64.117,67.798,41.3,-0.1835,1090.6,86.9,78.1,4.43
LM,control,6/15/2019 12:50,0.0068,0.1514,2116.2,68.7,63.7,64.589,68.27,36.8,-0.1835,1131.9,89.4,80.6,4.412
LM,control,6/15/2019 13:00,0.0068,0.1521,1153.7,36.2,33.7,65.059,66.985,36.3,-0.1835,580.6,45.6,41.9,4.4
LM,control,6/15/2019 13:10,0.0061,0.1521,983.7,31.2,26.2,65.444,63.604,37.8,-0.1835,491.9,39.4,35.6,4.442
LM,control,6/15/2019 13:20,0.0061,0.1521,2083.7,66.2,61.2,65.872,66.385,44.2,-0.1835,1106.9,85.6,76.9,4.43
LM,control,6/15/2019 13:30,0.0068,0.1528,2181.2,68.7,63.7,66.344,70.459,34.4,-0.1835,1165.6,89.4,80.6,4.418
LM,control,6/15/2019 13:40,0.0061,0.1528,1946.2,61.2,56.2,66.686,64.845,37.7,-0.1835,1031.9,79.4,70.6,4.4
LM,control,6/15/2019 13:50,0.0061,0.1528,1953.7,61.2,56.2,67.071,67.028,36.1,-0.1835,1033.1,78.1,70.6,4.393
LM,control,6/15/2019 14:00,0.0061,0.1528,2043.7,63.7,58.7,67.413,67.586,35.4,-0.1835,1081.9,81.9,74.4,4.43
LM,control,6/15/2019 14:10,0.0061,0.1528,2016.2,61.2,58.7,67.757,68.742,36.4,-0.1835,1068.1,80.6,73.1,4.412
LM,control,6/15/2019 14:20,0.0054,0.1528,1901.2,56.2,53.7,68.099,68.4,35.1,-0.1835,1000.6,75.6,69.4,4.4
LM,control,6/15/2019 14:30,0.0054,0.1528,1973.7,58.7,56.2,68.443,70.072,34.2,-0.1835,1039.4,78.1,73.1,4.393
LM,control,6/15/2019 14:40,0.0054,0.1535,1956.2,56.2,56.2,68.828,69.814,34.3,-0.1835,1023.1,76.9,71.9,4.418
LM,control,6/15/2019 14:50,0.0046,0.1535,2016.2,58.7,56.2,69.17,67.798,33.2,-0.1835,1046.9,79.4,74.4,4.442
LM,control,6/15/2019 15:00,0.0046,0.1535,2081.2,58.7,58.7,69.514,69.942,32.8,-0.1835,1070.6,80.6,78.1,4.393
LM,control,6/15/2019 15:10,0.0046,0.1535,1963.7,56.2,56.2,69.858,71.447,30.3,-0.1835,1005.6,76.9,74.4,4.393
LM,control,6/15/2019 15:20,0.0046,0.1535,298.7,6.2,8.7,70.115,62.062,37.2,-0.1835,126.9,9.4,9.4,4.418
LM,control,6/15/2019 15:30,0.0046,0.1535,426.2,11.2,11.2,70.372,68.185,32.7,-0.1835,184.4,13.1,14.4,4.4
LM,control,6/15/2019 15:40,0.0046,0.1535,363.7,8.7,8.7,70.587,63.561,35.9,-0.1835,161.9,11.9,13.1,4.393
LM,control,6/15/2019 15:50,0.0046,0.1535,823.7,21.2,23.7,70.716,64.117,39.6,-0.1835,383.1,29.4,30.6,4.538
LM,control,6/15/2019 16:00,0.0046,0.1535,371.2,8.7,8.7,70.759,61.333,39.8,-0.1835,170.6,14.4,14.4,4.418
LM,control,6/15/2019 16:10,0.0039,0.1535,371.2,8.7,11.2,70.803,60.775,41.4,-0.1835,173.1,14.4,14.4,4.406
LM,control,6/15/2019 16:20,0.0039,0.1535,718.7,18.7,21.2,70.803,62.191,40,-0.1835,349.4,29.4,29.4,4.4
LM,control,6/15/2019 16:30,0.0039,0.1528,696.2,18.7,18.7,70.803,62.791,38.8,-0.1835,341.9,28.1,29.4,4.418
LM,control,6/15/2019 16:40,0.0039,0.1528,736.2,21.2,21.2,70.63,62.533,39.3,-0.1835,358.1,29.4,29.4,4.418
LM,control,6/15/2019 16:50,0.0039,0.1528,618.7,16.2,18.7,70.502,61.891,42.7,-0.1835,303.1,25.6,24.4,4.418
LM,control,6/15/2019 17:00,0.0039,0.1528,478.7,13.7,13.7,70.372,60.904,43.8,-0.1835,231.9,19.4,19.4,4.4
LM,control,6/15/2019 17:10,0.0039,0.1521,431.2,11.2,11.2,70.243,60.39,45.8,-0.1835,208.1,18.1,18.1,4.4
LM,control,6/15/2019 17:20,0.0039,0.1521,486.2,13.7,13.7,70.072,60.303,44.3,-0.1835,236.9,20.6,19.4,4.418
LM,control,6/15/2019 17:30,0.0039,0.1521,581.2,16.2,16.2,69.942,60.775,44.4,-0.1835,284.4,24.4,24.4,4.418
LM,control,6/15/2019 17:40,0.0039,0.1521,366.2,8.7,11.2,69.814,60.775,46,-0.1835,186.9,15.6,15.6,4.4
LM,control,6/15/2019 17:50,0.0039,0.1514,348.7,8.7,8.7,69.643,58.885,46,-0.1835,176.9,15.6,14.4,4.4
LM,control,6/15/2019 18:00,0.0039,0.1514,456.2,13.7,13.7,69.471,59.056,47.2,-0.1835,229.4,19.4,19.4,4.442
LM,control,6/15/2019 18:10,0.0039,0.1514,403.7,11.2,11.2,69.343,59.142,48.3,-0.1835,199.4,16.9,16.9,4.448
LM,control,6/15/2019 18:20,0.0039,0.1514,381.2,11.2,11.2,69.129,58.669,51.7,-0.1835,186.9,15.6,16.9,4.406
LM,control,6/15/2019 18:30,0.0032,0.1514,531.2,13.7,16.2,68.956,58.239,50.5,-0.1835,266.9,21.9,24.4,4.4
LM,control,6/15/2019 18:40,0.0032,0.1514,778.7,16.2,23.7,68.785,61.205,46.7,-0.1835,409.4,33.1,40.6,4.538
LM,control,6/15/2019 18:50,0.0039,0.1514,521.2,13.7,16.2,68.614,59.529,48.5,-0.1835,269.4,21.9,25.6,4.418
LM,control,6/15/2019 19:00,0.0032,0.1506,346.2,8.7,8.7,68.443,56.901,50.8,-0.1835,175.6,14.4,15.6,4.406
LM,control,6/15/2019 19:10,0.0032,0.1506,458.7,11.2,13.7,68.27,56.858,51.5,-0.1835,246.9,19.4,24.4,4.4
LM,control,6/15/2019 19:20,0.0032,0.1506,333.7,8.7,8.7,68.056,57.765,51.8,-0.1835,175.6,14.4,18.1,4.4
LM,control,6/15/2019 19:30,0.0032,0.1506,181.2,3.7,3.7,67.842,55.125,54.4,-0.1835,93.1,8.1,6.9,4.418
LM,control,6/15/2019 19:40,0.0032,0.1499,91.2,1.2,1.2,67.671,53.602,56.9,-0.1835,43.1,3.1,3.1,4.442
LM,control,6/15/2019 19:50,0.0032,0.1499,56.2,1.2,1.2,67.413,51.94,60.1,-0.1835,24.4,0.6,0.6,4.4
LM,control,6/15/2019 20:00,0.0032,0.1499,33.7,1.2,1.2,67.199,50.841,61.4,-0.1835,13.1,0.6,0.6,4.4
LM,control,6/15/2019 20:10,0.0032,0.1492,18.7,1.2,1.2,66.985,50.223,63.5,-0.1835,6.9,0.6,0.6,4.4
LM,control,6/15/2019 20:20,0.0032,0.1492,11.2,1.2,1.2,66.772,50.268,63.2,-0.1835,3.1,0.6,0.6,4.4
LM,control,6/15/2019 20:30,0.0032,0.1492,6.2,1.2,1.2,66.515,50.664,61.8,-0.1835,1.9,0.6,0.6,4.4
LM,control,6/15/2019 20:40,0.0032,0.1485,1.2,1.2,1.2,66.258,49.028,67,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/15/2019 20:50,0.0032,0.1485,1.2,1.2,1.2,66,47.871,70.3,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/15/2019 21:00,0.0032,0.1485,1.2,1.2,1.2,65.745,47.467,71.8,-0.1835,0.6,0.6,0.6,4.43
LM,control,6/15/2019 21:10,0.0032,0.1485,1.2,1.2,1.2,65.487,47.064,75.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 21:20,0.0032,0.1485,1.2,1.2,1.2,65.23,47.289,73.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 21:30,0.0039,0.1477,1.2,1.2,1.2,65.017,49.249,68.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 21:40,0.0032,0.1477,1.2,1.2,1.2,64.76,48.672,68.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 21:50,0.0032,0.1485,1.2,1.2,1.2,64.546,49.294,64.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:00,0.0032,0.1477,1.2,1.2,1.2,64.288,46.661,73.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:10,0.0039,0.1477,1.2,1.2,1.2,64.074,45.534,75.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:20,0.0032,0.1477,1.2,1.2,1.2,63.862,43.351,79.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:30,0.0032,0.1477,1.2,1.2,1.2,63.648,42.755,79.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:40,0.0039,0.1477,1.2,1.2,1.2,63.433,42.433,82,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 22:50,0.0039,0.147,1.2,1.2,1.2,63.176,41.137,84.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 23:00,0.0039,0.147,1.2,1.2,1.2,62.962,41.648,83,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 23:10,0.0039,0.147,1.2,1.2,1.2,62.704,40.158,86.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 23:20,0.0039,0.147,1.2,1.2,1.2,62.49,40.951,84.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 23:30,0.0039,0.147,1.2,1.2,1.2,62.233,40.626,84.7,-0.1835,0.6,0.6,0.6,4.418
LM,control,6/15/2019 23:40,0.0039,0.147,1.2,1.2,1.2,62.019,40.158,84.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/15/2019 23:50,0.0046,0.147,1.2,1.2,1.2,61.761,39.313,86.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:00,0.0046,0.1463,1.2,1.2,1.2,61.547,38.511,86.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:10,0.0046,0.1463,1.2,1.2,1.2,61.29,37.656,87.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:20,0.0046,0.1456,1.2,1.2,1.2,61.075,35.928,89.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:30,0.0039,0.1456,1.2,1.2,1.2,60.861,35.928,91.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:40,0.0046,0.1456,1.2,1.2,1.2,60.604,35.492,91.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 0:50,0.0046,0.1456,1.2,1.2,1.2,60.39,35.2,92.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:00,0.0046,0.1456,1.2,1.2,1.2,60.174,35.249,92,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:10,0.0046,0.1456,1.2,1.2,1.2,59.959,35.541,93.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:20,0.0046,0.1456,1.2,1.2,1.2,59.745,36.313,91.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:30,0.0054,0.1448,1.2,1.2,1.2,59.486,35.733,92.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:40,0.0054,0.1448,1.2,1.2,1.2,59.315,36.41,91.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 1:50,0.0054,0.1448,1.2,1.2,1.2,59.056,34.32,92.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 2:00,0.0054,0.1448,1.2,1.2,1.2,58.885,34.858,92.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 2:10,0.0054,0.1448,1.2,1.2,1.2,58.626,33.928,93.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/16/2019 2:20,0.0054,0.1448,1.2,1.2,1.2,58.455,35.152,92.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 2:30,0.0054,0.1448,1.2,1.2,1.2,58.282,36.169,91.3,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 2:40,0.0054,0.1448,1.2,1.2,1.2,58.066,34.907,92,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 2:50,0.0054,0.1448,1.2,1.2,1.2,57.893,33.928,93.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:00,0.0054,0.1448,1.2,1.2,1.2,57.679,33.681,94.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:10,0.0054,0.1448,1.2,1.2,1.2,57.506,33.534,93.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:20,0.0054,0.1441,1.2,1.2,1.2,57.333,34.516,95.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:30,0.0054,0.1441,1.2,1.2,1.2,57.16,35.638,95.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:40,0.0054,0.1441,1.2,1.2,1.2,56.988,36.361,94.2,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 3:50,0.0054,0.1441,1.2,1.2,1.2,56.815,36.891,92.9,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 4:00,0.0054,0.1441,1.2,1.2,1.2,56.685,37.13,90.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 4:10,0.0054,0.1441,1.2,1.2,1.2,56.556,35.492,91.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 4:20,0.0061,0.1441,1.2,1.2,1.2,56.383,34.713,92.4,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 4:30,0.0061,0.1434,1.2,1.2,1.2,56.251,34.907,92.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 4:40,0.0061,0.1441,1.2,1.2,1.2,56.122,34.516,91.9,-0.1835,0.6,0.6,0.6,4.375
LM,control,6/16/2019 4:50,0.0061,0.1441,1.2,1.2,1.2,55.949,33.089,94.4,-0.1835,0.6,0.6,0.6,4.375
LM,control,6/16/2019 5:00,0.0061,0.1434,1.2,1.2,1.2,55.776,32.392,94.8,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 5:10,0.0061,0.1441,1.2,1.2,1.2,55.647,32.043,94.7,-0.1835,0.6,0.6,0.6,4.375
LM,control,6/16/2019 5:20,0.0061,0.1434,1.2,1.2,1.2,55.515,31.791,95.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/16/2019 5:30,0.0061,0.1434,1.2,1.2,1.2,55.342,31.743,95.6,-0.1835,0.6,0.6,0.6,4.375
LM,control,6/16/2019 5:40,0.0061,0.1434,6.2,1.2,1.2,55.168,31.239,95.5,-0.1835,1.9,0.6,0.6,4.381
LM,control,6/16/2019 5:50,0.0061,0.1434,11.2,1.2,1.2,55.038,32.293,96,-0.1835,4.4,0.6,0.6,4.375
LM,control,6/16/2019 6:00,0.0061,0.1434,23.7,1.2,1.2,54.909,31.743,95.9,-0.1835,6.9,0.6,0.6,4.369
LM,control,6/16/2019 6:10,0.0068,0.1434,43.7,1.2,1.2,54.734,32.193,96.1,-0.1835,13.1,0.6,0.6,4.381
LM,control,6/16/2019 6:20,0.0068,0.1434,58.7,1.2,1.2,54.561,33.089,96,-0.1835,16.9,0.6,0.6,4.393
LM,control,6/16/2019 6:30,0.0068,0.1434,71.2,1.2,1.2,54.43,33.039,96,-0.1835,21.9,0.6,0.6,4.418
LM,control,6/16/2019 6:40,0.0068,0.1426,288.7,8.7,8.7,54.3,35.443,96,-0.1835,174.4,18.1,21.9,4.418
LM,control,6/16/2019 6:50,0.0068,0.1426,351.2,11.2,13.7,54.169,38.795,93.2,-0.1835,204.4,21.9,25.6,4.418
LM,control,6/16/2019 7:00,0.0068,0.1426,423.7,16.2,16.2,54.082,41.369,89.2,-0.1835,236.9,25.6,29.4,4.418
LM,control,6/16/2019 7:10,0.0068,0.1426,496.2,18.7,18.7,53.994,42.478,86.9,-0.1835,271.9,29.4,33.1,4.418
LM,control,6/16/2019 7:20,0.0068,0.1426,618.7,23.7,21.2,53.951,45.444,83,-0.1835,336.9,35.6,39.4,4.4
LM,control,6/16/2019 7:30,0.0068,0.1426,606.2,21.2,21.2,53.951,48.583,76.8,-0.1835,325.6,34.4,36.9,4.418
LM,control,6/16/2019 7:40,0.0061,0.1426,163.7,3.7,3.7,53.951,45.579,78.3,-0.1835,63.1,4.4,5.6,4.442
LM,control,6/16/2019 7:50,0.0061,0.1426,751.2,28.7,26.2,53.951,49.338,72.3,-0.1835,393.1,40.6,41.9,4.418
LM,control,6/16/2019 8:00,0.0061,0.1434,816.2,31.2,26.2,53.994,52.203,69,-0.1835,424.4,43.1,44.4,4.412
LM,control,6/16/2019 8:10,0.0061,0.1426,903.7,33.7,28.7,54.126,53.121,66.5,-0.1835,468.1,46.9,48.1,4.544
LM,control,6/16/2019 8:20,0.0054,0.1426,1101.2,38.7,36.2,54.3,56.426,62,-0.1835,580.6,58.1,56.9,4.418
LM,control,6/16/2019 8:30,0.0054,0.1426,646.2,21.2,18.7,54.473,56.426,58.9,-0.1835,325.6,30.6,29.4,4.4
