Plot Title: 9735539_SM_LM_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147, LBL: LM_B2)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934, LBL: LM_B2R)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936, LBL: LM_B2L)"
Site,Treatment,Date,Time,PAR.up,PAR.left,PAR.right,ST,SR.right,Air.T,RH,,SR.up,SR.left,SWC.right,SWC.left
LM,early,7/7/2019,21:30,1.2,1.2,1.2,55.256,0.6,42.708,95.5,-0.1988,0.6,0.6,0.2677,0.2095
LM,early,7/7/2019,21:40,1.2,1.2,1.2,55.038,0.6,42.247,95.9,-0.1988,0.6,0.6,0.268,0.21
LM,early,7/7/2019,21:50,1.2,1.2,1.2,54.777,0.6,41.74,96,-0.1988,0.6,0.6,0.268,0.2095
LM,early,7/7/2019,22:00,1.2,1.2,1.2,54.561,0.6,41.648,96.7,-0.1988,0.6,0.6,0.268,0.2095
LM,early,7/7/2019,22:10,1.2,1.2,1.2,54.3,0.6,42.156,96.8,-0.1988,0.6,0.6,0.268,0.21
LM,early,7/7/2019,22:20,1.2,1.2,1.2,54.126,0.6,42.109,96.8,-0.1988,0.6,0.6,0.268,0.2095
LM,early,7/7/2019,22:30,1.2,1.2,1.2,53.951,0.6,41.693,96.6,-0.1988,0.6,0.6,0.268,0.2095
LM,early,7/7/2019,22:40,1.2,1.2,1.2,53.776,0.6,41.416,96.7,-0.1988,0.6,0.6,0.268,0.21
LM,early,7/7/2019,22:50,1.2,1.2,1.2,53.602,0.6,41.74,97,-0.1988,0.6,0.6,0.268,0.2095
LM,early,7/7/2019,23:00,1.2,1.2,1.2,53.427,0.6,41.832,96.9,-0.1988,0.6,0.6,0.2684,0.2095
LM,early,7/7/2019,23:10,1.2,1.2,1.2,53.298,0.6,42.478,96.9,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/7/2019,23:20,1.2,1.2,1.2,53.166,0.6,42.847,96.8,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/7/2019,23:30,1.2,1.2,1.2,53.078,0.6,43.351,97,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/7/2019,23:40,1.2,1.2,1.2,52.947,0.6,43.122,96.6,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/7/2019,23:50,1.2,1.2,1.2,52.86,0.6,42.525,96.6,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,0:00,1.2,1.2,1.2,52.817,0.6,41.601,96.8,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,0:10,1.2,1.2,1.2,52.686,0.6,41.74,97.3,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,0:20,1.2,1.2,1.2,52.554,0.6,41.554,97,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,0:30,1.2,1.2,1.2,52.466,0.6,41.416,97.4,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,0:40,1.2,1.2,1.2,52.335,0.6,41.648,97.3,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,0:50,1.2,1.2,1.2,52.246,0.6,41.184,96.9,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,1:00,1.2,1.2,1.2,52.115,0.6,41.043,97.1,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,1:10,1.2,1.2,1.2,52.029,0.6,41.23,97,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,1:20,1.2,1.2,1.2,51.94,0.6,41.508,97.2,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,1:30,1.2,1.2,1.2,51.852,0.6,40.764,95.6,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,1:40,1.2,1.2,1.2,51.721,0.6,40.719,97.2,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,1:50,1.2,1.2,1.2,51.589,0.6,40.579,96.6,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,2:00,1.2,1.2,1.2,51.501,0.6,39.643,96.6,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,2:10,1.2,1.2,1.2,51.413,0.6,39.313,97.1,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,2:20,1.2,1.2,1.2,51.282,0.6,38.415,97.3,-0.1988,0.6,0.6,0.2687,0.2104
LM,early,7/8/2019,2:30,1.2,1.2,1.2,51.148,0.6,38.037,97.6,-0.1988,0.6,0.6,0.2687,0.2104
LM,early,7/8/2019,2:40,1.2,1.2,1.2,50.974,0.6,37.56,97.8,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,2:50,1.2,1.2,1.2,50.797,0.6,36.842,98,-0.1988,0.6,0.6,0.2684,0.2104
LM,early,7/8/2019,3:00,1.2,1.2,1.2,50.621,0.6,36.313,98.2,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,3:10,1.2,1.2,1.2,50.445,0.6,36.747,98.5,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,3:20,1.2,1.2,1.2,50.268,0.6,36.603,98.3,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,3:30,1.2,1.2,1.2,50.135,0.6,36.41,98.5,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,3:40,1.2,1.2,1.2,49.959,0.6,36.313,98.7,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,3:50,1.2,1.2,1.2,49.825,0.6,36.986,98.7,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,4:00,1.2,1.2,1.2,49.692,0.6,37.321,98.8,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,4:10,1.2,1.2,1.2,49.604,0.6,37.179,98.8,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,4:20,1.2,1.2,1.2,49.516,0.6,37.846,98.9,-0.1988,0.6,0.6,0.2687,0.2104
LM,early,7/8/2019,4:30,1.2,1.2,1.2,49.428,0.6,38.511,98.9,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,4:40,1.2,1.2,1.2,49.383,0.6,39.736,99.1,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,4:50,1.2,1.2,1.2,49.383,0.6,39.643,98.8,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,5:00,1.2,1.2,1.2,49.294,0.6,39.502,98.9,-0.1988,0.6,0.6,0.2687,0.2104
LM,early,7/8/2019,5:10,1.2,1.2,1.2,49.294,0.6,40.158,98.9,-0.1988,0.6,0.6,0.2687,0.2104
LM,early,7/8/2019,5:20,1.2,1.2,1.2,49.294,0.6,40.298,98.8,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,5:30,1.2,1.2,1.2,49.294,0.6,40.064,98.8,-0.1988,0.6,0.6,0.2687,0.21
LM,early,7/8/2019,5:40,1.2,1.2,1.2,49.294,0.6,39.877,98.7,-0.1988,0.6,0.6,0.2684,0.21
LM,early,7/8/2019,5:50,11.2,1.2,1.2,49.294,3.1,40.438,98.9,-0.1988,13.1,1.9,0.2687,0.2104
LM,early,7/8/2019,6:00,13.7,1.2,1.2,49.249,1.9,40.719,98.8,-0.1988,8.1,0.6,0.2687,0.2104
LM,early,7/8/2019,6:10,26.2,1.2,1.2,49.249,1.9,40.392,98.8,-0.1988,13.1,1.9,0.2687,0.2104
LM,early,7/8/2019,6:20,56.2,1.2,1.2,49.204,5.6,40.485,98.8,-0.1988,31.9,4.4,0.2687,0.2104
LM,early,7/8/2019,6:30,63.7,1.2,1.2,49.204,6.9,40.905,98.9,-0.1988,36.9,5.6,0.2687,0.2104
LM,early,7/8/2019,6:40,86.2,1.2,1.2,49.204,9.4,41.601,98.9,-0.1988,48.1,8.1,0.2687,0.2109
LM,early,7/8/2019,6:50,101.2,1.2,1.2,49.249,10.6,42.433,98.9,-0.1988,56.9,9.4,0.2687,0.2109
LM,early,7/8/2019,7:00,88.7,1.2,1.2,49.294,9.4,43.351,98.8,-0.1988,48.1,8.1,0.2687,0.2109
LM,early,7/8/2019,7:10,113.7,3.7,3.7,49.294,11.9,43.763,98.7,-0.1988,64.4,10.6,0.2687,0.2109
LM,early,7/8/2019,7:20,131.2,3.7,3.7,49.383,14.4,44.627,98.7,-0.1988,73.1,11.9,0.2684,0.2109
LM,early,7/8/2019,7:30,183.7,6.2,3.7,49.471,19.4,45.082,98.4,-0.1988,99.4,15.6,0.2684,0.2109
LM,early,7/8/2019,7:40,213.7,6.2,6.2,49.561,25.6,46.526,98.3,-0.1988,114.4,21.9,0.2684,0.2109
LM,early,7/8/2019,7:50,213.7,6.2,6.2,49.649,28.1,46.974,97.5,-0.1988,118.1,23.1,0.268,0.2104
LM,early,7/8/2019,8:00,123.7,3.7,3.7,49.737,16.9,47.422,95.9,-0.1988,69.4,14.4,0.2684,0.2109
LM,early,7/8/2019,8:10,111.2,3.7,3.7,49.87,11.9,47.199,95.8,-0.1988,60.6,9.4,0.2691,0.21
LM,early,7/8/2019,8:20,93.7,1.2,1.2,49.959,10.6,46.796,96.2,-0.1988,50.6,9.4,0.2691,0.2219
LM,early,7/8/2019,8:30,103.7,3.7,1.2,50.002,10.6,46.616,96.5,-0.1988,55.6,9.4,0.268,0.2306
LM,early,7/8/2019,8:40,278.7,8.7,8.7,50.092,28.1,47.512,97.2,-0.1988,146.9,23.1,0.2694,0.2282
LM,early,7/8/2019,8:50,476.2,13.7,16.2,50.18,50.6,49.561,96,-0.1988,249.4,43.1,0.2705,0.2282
LM,early,7/8/2019,9:00,483.7,16.2,16.2,50.311,53.1,51.589,91.1,-0.1988,246.9,46.9,0.2705,0.2274
LM,early,7/8/2019,9:10,428.7,13.7,13.7,50.488,45.6,52.466,89.8,-0.1988,213.1,40.6,0.2705,0.2269
LM,early,7/8/2019,9:20,1608.7,56.2,56.2,50.709,196.9,58.712,87.6,-0.1988,836.9,165.6,0.2701,0.2266
LM,early,7/8/2019,9:30,836.2,26.2,26.2,51.017,86.9,60.217,81.6,-0.1988,418.1,75.6,0.2701,0.2262
LM,early,7/8/2019,9:40,736.2,23.7,21.2,51.37,75.6,58.282,84.3,-0.1988,378.1,65.6,0.2694,0.2254
LM,early,7/8/2019,9:50,576.2,16.2,16.2,51.764,59.4,57.636,85.1,-0.1988,299.4,51.9,0.2698,0.2249
LM,early,7/8/2019,10:00,568.7,18.7,16.2,52.072,59.4,57.679,80.3,-0.1988,288.1,53.1,0.2698,0.2249
LM,early,7/8/2019,10:10,866.2,26.2,26.2,52.335,88.1,59.272,79.9,-0.1988,444.4,76.9,0.2694,0.2245
LM,early,7/8/2019,10:20,911.2,28.7,28.7,52.597,96.9,61.547,76.8,-0.1988,478.1,85.6,0.2694,0.2237
LM,early,7/8/2019,10:30,433.7,13.7,13.7,52.903,53.1,57.031,78.8,-0.1988,243.1,46.9,0.2694,0.2232
LM,early,7/8/2019,10:40,2298.7,63.7,58.7,53.209,228.1,61.977,75.7,-0.1988,1206.9,191.9,0.2691,0.2229
LM,early,7/8/2019,10:50,2421.2,63.7,58.7,53.602,224.4,64.161,66.2,-0.1988,1276.9,193.1,0.2691,0.2219
LM,early,7/8/2019,11:00,1666.2,43.7,41.2,54.212,149.4,60.861,68.4,-0.1988,858.1,131.9,0.2687,0.2219
LM,early,7/8/2019,11:10,1766.2,46.2,41.2,54.82,155.6,61.506,66.5,-0.1988,929.4,138.1,0.2687,0.2219
LM,early,7/8/2019,11:20,1178.7,31.2,26.2,55.342,100.6,61.934,68.5,-0.1988,589.4,88.1,0.2687,0.2219
LM,early,7/8/2019,11:30,2241.2,56.2,48.7,55.863,185.6,66.9,64.9,-0.1988,1191.9,163.1,0.2684,0.2211
LM,early,7/8/2019,11:40,2193.7,56.2,48.7,56.469,179.4,67.586,61.4,-0.1988,1173.1,160.6,0.268,0.2211
LM,early,7/8/2019,11:50,2116.2,51.2,43.7,57.117,165.6,65.829,61.1,-0.1988,1128.1,148.1,0.2677,0.2208
LM,early,7/8/2019,12:00,2403.7,58.7,51.2,57.679,185.6,66.6,59.7,-0.1988,1276.9,166.9,0.2677,0.2208
LM,early,7/8/2019,12:10,1378.7,36.2,31.2,58.152,113.1,65.145,57,-0.1988,715.6,103.1,0.2677,0.2198
LM,early,7/8/2019,12:20,423.7,13.7,13.7,58.498,49.4,59.445,62.9,-0.1988,228.1,43.1,0.267,0.2203
LM,early,7/8/2019,12:30,406.2,13.7,13.7,58.582,46.9,58.282,64,-0.1988,216.9,43.1,0.2673,0.2203
LM,early,7/8/2019,12:40,801.2,23.7,21.2,58.498,75.6,59.056,63.8,-0.1988,414.4,66.9,0.2666,0.2203
LM,early,7/8/2019,12:50,1013.7,28.7,28.7,58.325,95.6,60.991,63.3,-0.1988,521.9,83.1,0.2666,0.2198
LM,early,7/8/2019,13:00,1241.2,33.7,31.2,58.195,109.4,64.332,62.8,-0.1988,636.9,94.4,0.2673,0.2198
LM,early,7/8/2019,13:10,921.2,26.2,23.7,58.195,83.1,66.214,58.3,-0.1988,480.6,73.1,0.2673,0.2198
LM,early,7/8/2019,13:20,1008.7,28.7,26.2,58.282,93.1,66.173,59.2,-0.1988,530.6,83.1,0.2673,0.2195
LM,early,7/8/2019,13:30,783.7,23.7,23.7,58.368,80.6,64.375,61.2,-0.1988,418.1,71.9,0.2673,0.2195
LM,early,7/8/2019,13:40,971.2,26.2,26.2,58.455,84.4,62.661,62.4,-0.1988,500.6,74.4,0.2673,0.2182
LM,early,7/8/2019,13:50,2236.2,53.7,51.2,58.541,164.4,68.871,60.3,-0.1988,1200.6,148.1,0.267,0.2185
LM,early,7/8/2019,14:00,521.2,13.7,13.7,58.712,45.6,68.614,51.7,-0.1988,258.1,40.6,0.267,0.2174
LM,early,7/8/2019,14:10,1076.2,28.7,26.2,58.928,81.9,67.671,52.6,-0.1988,533.1,74.4,0.267,0.2219
LM,early,7/8/2019,14:20,2463.7,63.7,58.7,59.142,188.1,69.213,54.4,-0.1988,1276.9,171.9,0.2666,0.2177
LM,early,7/8/2019,14:30,2073.7,53.7,48.7,59.445,153.1,67.928,52.8,-0.1988,1095.6,140.6,0.2666,0.2195
LM,early,7/8/2019,14:40,2116.2,53.7,51.2,59.702,159.4,68.785,55.1,-0.1988,1113.1,145.6,0.2666,0.219
LM,early,7/8/2019,14:50,2043.7,53.7,51.2,59.959,154.4,67.714,54.5,-0.1988,1066.9,141.9,0.2666,0.219
LM,early,7/8/2019,15:00,2031.2,53.7,53.7,60.174,156.9,72.696,49.4,-0.1988,1056.9,145.6,0.2666,0.2177
LM,early,7/8/2019,15:10,1848.7,51.2,51.2,60.39,160.6,70.372,48.3,-0.1988,974.4,141.9,0.2666,0.2182
LM,early,7/8/2019,15:20,363.7,13.7,11.2,60.604,44.4,65.574,53.5,-0.1988,196.9,39.4,0.2666,0.2177
LM,early,7/8/2019,15:30,543.7,16.2,16.2,60.69,58.1,62.661,56.2,-0.1988,290.6,51.9,0.266,0.2174
LM,early,7/8/2019,15:40,356.2,11.2,11.2,60.647,39.4,62.661,58.5,-0.1988,185.6,34.4,0.266,0.2174
LM,early,7/8/2019,15:50,216.2,6.2,6.2,60.517,25.6,60.561,57.2,-0.1988,119.4,23.1,0.2666,0.2169
LM,early,7/8/2019,16:00,1498.7,43.7,43.7,60.346,138.1,63.689,58.8,-0.1988,781.9,124.4,0.2666,0.2174
LM,early,7/8/2019,16:10,406.2,13.7,11.2,60.174,45.6,69.514,44.3,-0.1988,218.1,40.6,0.2666,0.2169
LM,early,7/8/2019,16:20,1041.2,31.2,28.7,60.089,94.4,70.416,48,-0.1988,528.1,88.1,0.2666,0.2169
LM,early,7/8/2019,16:30,416.2,13.7,13.7,60.046,48.1,64.459,51.4,-0.1988,219.4,41.9,0.2666,0.2164
LM,early,7/8/2019,16:40,611.2,21.2,18.7,59.959,63.1,65.017,54.3,-0.1988,306.9,56.9,0.2666,0.2169
LM,early,7/8/2019,16:50,408.7,13.7,13.7,59.873,44.4,66,53.9,-0.1988,206.9,39.4,0.267,0.2164
LM,early,7/8/2019,17:00,358.7,11.2,11.2,59.788,41.9,64.161,58.5,-0.1988,193.1,38.1,0.2666,0.2164
LM,early,7/8/2019,17:10,453.7,16.2,13.7,59.745,51.9,63.648,56.3,-0.1988,243.1,46.9,0.2666,0.2161
LM,early,7/8/2019,17:20,1283.7,46.2,46.2,59.659,143.1,66.9,50.7,-0.1988,698.1,134.4,0.2666,0.2164
LM,early,7/8/2019,17:30,1148.7,43.7,41.2,59.529,128.1,68.527,51,-0.1988,618.1,121.9,0.2666,0.2156
LM,early,7/8/2019,17:40,956.2,38.7,36.2,59.486,109.4,71.146,47.2,-0.1988,498.1,106.9,0.2666,0.2153
LM,early,7/8/2019,17:50,228.7,6.2,6.2,59.486,21.9,64.033,50.2,-0.1988,109.4,19.4,0.267,0.2156
LM,early,7/8/2019,18:00,141.2,3.7,3.7,59.401,16.9,59.056,56.2,-0.1988,74.4,14.4,0.2664,0.2156
LM,early,7/8/2019,18:10,578.7,26.2,26.2,59.229,81.9,60.046,59.4,-0.1988,341.9,79.4,0.267,0.2156
LM,early,7/8/2019,18:20,608.7,31.2,28.7,59.056,84.4,66.344,48.5,-0.1988,318.1,84.4,0.2666,0.2156
LM,early,7/8/2019,18:30,498.7,28.7,26.2,58.928,75.6,66.772,46.8,-0.1988,268.1,78.1,0.267,0.2153
LM,early,7/8/2019,18:40,451.2,26.2,26.2,58.798,73.1,71.577,45.9,-0.1988,241.9,74.4,0.267,0.2148
LM,early,7/8/2019,18:50,421.2,26.2,23.7,58.669,71.9,68.871,46.9,-0.1988,231.9,73.1,0.2666,0.2153
LM,early,7/8/2019,19:00,268.7,21.2,18.7,58.541,56.9,67.757,43.5,-0.1988,141.9,60.6,0.267,0.2148
LM,early,7/8/2019,19:10,93.7,3.7,1.2,58.368,5.6,58.368,53.9,-0.1988,33.1,5.6,0.2666,0.2148
LM,early,7/8/2019,19:20,93.7,6.2,6.2,58.239,19.4,61.761,49.5,-0.1988,35.6,19.4,0.267,0.2148
LM,early,7/8/2019,19:30,71.2,1.2,1.2,58.023,4.4,54.865,60.6,-0.1988,23.1,4.4,0.267,0.2148
LM,early,7/8/2019,19:40,68.7,1.2,1.2,57.807,5.6,52.029,61.9,-0.1988,25.6,5.6,0.267,0.2148
LM,early,7/8/2019,19:50,63.7,1.2,1.2,57.549,5.6,51.984,61.8,-0.1988,24.4,5.6,0.267,0.2148
LM,early,7/8/2019,20:00,48.7,1.2,1.2,57.247,3.1,50.047,64.1,-0.1988,16.9,3.1,0.267,0.2143
LM,early,7/8/2019,20:10,38.7,1.2,1.2,56.988,3.1,48.004,72.8,-0.1988,15.6,1.9,0.267,0.2143
LM,early,7/8/2019,20:20,21.2,1.2,1.2,56.685,0.6,46.751,72.5,-0.1988,8.1,0.6,0.267,0.2143
LM,early,7/8/2019,20:30,8.7,1.2,1.2,56.426,0.6,45.307,76.6,-0.1988,3.1,0.6,0.267,0.2148
LM,early,7/8/2019,20:40,1.2,1.2,1.2,56.122,0.6,44.764,74.6,-0.1988,0.6,0.6,0.2666,0.2148
LM,early,7/8/2019,20:50,1.2,1.2,1.2,55.819,0.6,44.263,74.8,-0.1988,0.6,0.6,0.267,0.2143
LM,early,7/8/2019,21:00,1.2,1.2,1.2,55.515,0.6,42.57,79.4,-0.1988,0.6,0.6,0.2673,0.2148
LM,early,7/8/2019,21:10,1.2,1.2,1.2,55.256,0.6,41.74,79.7,-0.1988,0.6,0.6,0.267,0.2143
LM,early,7/8/2019,21:20,1.2,1.2,1.2,54.909,0.6,38.368,85.1,-0.1988,0.6,0.6,0.267,0.2143
LM,early,7/8/2019,21:30,1.2,1.2,1.2,54.648,0.6,37.893,84.4,-0.1988,0.6,0.6,0.2666,0.2134
LM,early,7/8/2019,21:40,1.2,1.2,1.2,54.3,0.6,37.798,84.3,-0.1988,0.6,0.6,0.267,0.2143
LM,early,7/8/2019,21:50,1.2,1.2,1.2,53.951,0.6,36.072,86.8,-0.1988,0.6,0.6,0.2677,0.2139
LM,early,7/8/2019,22:00,1.2,1.2,1.2,53.602,0.6,35.2,89.1,-0.1988,0.6,0.6,0.2673,0.2143
LM,early,7/8/2019,22:10,1.2,1.2,1.2,53.298,0.6,34.223,90.3,-0.1988,0.6,0.6,0.2673,0.2143
LM,early,7/8/2019,22:20,1.2,1.2,1.2,52.947,0.6,34.075,90.9,-0.1988,0.6,0.6,0.2677,0.2143
LM,early,7/8/2019,22:30,1.2,1.2,1.2,52.641,0.6,33.287,91.4,-0.1988,0.6,0.6,0.2673,0.2126
LM,early,7/8/2019,22:40,1.2,1.2,1.2,52.291,0.6,33.039,92.3,-0.1988,0.6,0.6,0.2677,0.2126
LM,early,7/8/2019,22:50,1.2,1.2,1.2,52.029,0.6,33.138,90.5,-0.1988,0.6,0.6,0.2677,0.2131
LM,early,7/8/2019,23:00,1.2,1.2,1.2,51.721,0.6,33.485,88.1,-0.1988,0.6,0.6,0.2677,0.2126
LM,early,7/8/2019,23:10,1.2,1.2,1.2,51.413,0.6,32.99,88.4,-0.1988,0.6,0.6,0.2677,0.2143
LM,early,7/8/2019,23:20,1.2,1.2,1.2,51.193,0.6,31.491,90.9,-0.1988,0.6,0.6,0.268,0.2148
LM,early,7/8/2019,23:30,1.2,1.2,1.2,50.929,0.6,31.743,89.9,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/8/2019,23:40,1.2,1.2,1.2,50.664,0.6,31.541,89.3,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/8/2019,23:50,1.2,1.2,1.2,50.445,0.6,30.884,90.4,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,0:00,1.2,1.2,1.2,50.18,0.6,30.276,90.7,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,0:10,1.2,1.2,1.2,49.959,0.6,29.611,91.6,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,0:20,1.2,1.2,1.2,49.737,0.6,30.682,90.5,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,0:30,1.2,1.2,1.2,49.516,0.6,30.072,90.3,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,0:40,1.2,1.2,1.2,49.294,0.6,29.867,90.9,-0.1988,0.6,0.6,0.2677,0.2143
LM,early,7/9/2019,0:50,1.2,1.2,1.2,49.116,0.6,28.787,91.4,-0.1988,0.6,0.6,0.2677,0.2143
LM,early,7/9/2019,1:00,1.2,1.2,1.2,48.938,0.6,29.817,89.9,-0.1988,0.6,0.6,0.2677,0.2143
LM,early,7/9/2019,1:10,1.2,1.2,1.2,48.762,0.6,29.251,90,-0.1988,0.6,0.6,0.2677,0.2139
LM,early,7/9/2019,1:20,1.2,1.2,1.2,48.583,0.6,29.199,88.9,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,1:30,1.2,1.2,1.2,48.405,0.6,29.046,90.6,-0.1988,0.6,0.6,0.268,0.2143
LM,early,7/9/2019,1:40,1.2,1.2,1.2,48.227,0.6,28.891,89.5,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,1:50,1.2,1.2,1.2,48.049,0.6,28.684,90.7,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:00,1.2,1.2,1.2,47.871,0.6,28.112,92.2,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:10,1.2,1.2,1.2,47.691,0.6,28.425,90.5,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:20,1.2,1.2,1.2,47.557,0.6,28.735,89.9,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:30,1.2,1.2,1.2,47.377,0.6,28.528,91.1,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:40,1.2,1.2,1.2,47.244,0.6,27.275,92.8,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,2:50,1.2,1.2,1.2,47.109,0.6,27.171,91.9,-0.1988,0.6,0.6,0.268,0.2139
LM,early,7/9/2019,3:00,1.2,1.2,1.2,46.931,0.6,28.321,89.8,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,3:10,1.2,1.2,1.2,46.796,0.6,28.008,90,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,3:20,1.2,1.2,1.2,46.661,0.6,27.59,90.6,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,3:30,1.2,1.2,1.2,46.526,0.6,27.327,92.3,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,3:40,1.2,1.2,1.2,46.391,0.6,27.694,91.8,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,3:50,1.2,1.2,1.2,46.256,0.6,26.748,93.2,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,4:00,1.2,1.2,1.2,46.121,0.6,26.164,94.4,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,4:10,1.2,1.2,1.2,45.986,0.6,27.064,93.2,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,4:20,1.2,1.2,1.2,45.851,0.6,28.528,91,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,4:30,1.2,1.2,1.2,45.714,0.6,26.537,91.9,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,4:40,1.2,1.2,1.2,45.624,0.6,25.471,94.1,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,4:50,1.2,1.2,1.2,45.489,0.6,25.363,95,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,5:00,1.2,1.2,1.2,45.354,0.6,25.792,94.4,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,5:10,1.2,1.2,1.2,45.172,0.6,25.952,94.3,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,5:20,1.2,1.2,1.2,45.082,0.6,26.854,92.8,-0.1988,0.6,0.6,0.2677,0.2134
LM,early,7/9/2019,5:30,1.2,1.2,1.2,44.901,0.6,26.854,92.4,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,5:40,1.2,1.2,1.2,44.809,0.6,27.064,91.7,-0.1988,0.6,0.6,0.268,0.2134
LM,early,7/9/2019,5:50,8.7,1.2,1.2,44.719,0.6,26.431,93.6,-0.1988,3.1,0.6,0.268,0.2131
LM,early,7/9/2019,6:00,18.7,1.2,1.2,44.627,0.6,26.006,94.1,-0.1988,6.9,0.6,0.268,0.2134
LM,early,7/9/2019,6:10,31.2,1.2,1.2,44.537,0.6,25.524,94.2,-0.1988,9.4,0.6,0.268,0.2131
LM,early,7/9/2019,6:20,43.7,1.2,1.2,44.445,1.9,26.006,94.5,-0.1988,13.1,0.6,0.268,0.2134
