Plot Title: 9735547_PHb1,,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date,Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST,Air.T,RH,V,SR.up,SR.left,SR.right,V
LM,control,6/10/2018,16:50,-0.0135,0.1223,1296.2,41.2,43.7,77.421,74.943,16.2,-0.1835,644.4,65.6,63.1,4.442
LM,control,6/10/2018,17:00,-0.0142,0.1223,1236.2,38.7,41.2,77.509,74.295,15.3,-0.1835,615.6,64.4,60.6,4.4
LM,control,6/10/2018,17:10,-0.0135,0.1223,1183.7,36.2,41.2,77.639,74.683,16.9,-0.1835,590.6,61.9,60.6,4.393
LM,control,6/10/2018,17:20,-0.0142,0.1223,1118.7,33.7,38.7,77.639,72.567,15.3,-0.1835,556.9,59.4,58.1,4.393
LM,control,6/10/2018,17:30,-0.0142,0.1223,1058.7,33.7,36.2,77.596,72.093,15.1,-0.1835,526.9,55.6,56.9,4.418
LM,control,6/10/2018,17:40,-0.0142,0.1223,988.7,31.2,33.7,77.553,73.213,16,-0.1835,493.1,53.1,53.1,4.4
LM,control,6/10/2018,17:50,-0.0142,0.1216,928.7,26.2,31.2,77.464,71.964,16,-0.1835,461.9,49.4,50.6,4.393
LM,control,6/10/2018,18:00,-0.0135,0.1216,863.7,23.7,31.2,77.292,70.543,16,-0.1835,431.9,45.6,48.1,4.393
LM,control,6/10/2018,18:10,-0.0135,0.1216,791.2,21.2,28.7,77.072,70.201,16.1,-0.1835,396.9,41.9,45.6,4.418
LM,control,6/10/2018,18:20,-0.0142,0.1216,728.7,18.7,26.2,76.811,69.386,16.3,-0.1835,365.6,36.9,43.1,4.4
LM,control,6/10/2018,18:30,-0.0135,0.1209,656.2,16.2,23.7,76.55,69.557,14.8,-0.1835,331.9,30.6,40.6,4.393
LM,control,6/10/2018,18:40,-0.0128,0.1209,591.2,11.2,21.2,76.246,69.129,17,-0.1835,300.6,25.6,36.9,4.508
LM,control,6/10/2018,18:50,-0.0142,0.1201,523.7,8.7,18.7,75.942,68.828,16.3,-0.1835,268.1,20.6,34.4,4.418
LM,control,6/10/2018,19:00,-0.015,0.1201,458.7,8.7,16.2,75.594,67.671,16.9,-0.1835,236.9,18.1,30.6,4.4
LM,control,6/10/2018,19:10,-0.015,0.1201,256.2,3.7,13.7,75.204,66.9,16.9,-0.1835,139.4,11.9,26.9,4.393
LM,control,6/10/2018,19:20,-0.0142,0.1194,331.2,3.7,13.7,74.813,65.872,17.1,-0.1835,176.9,8.1,23.1,4.442
LM,control,6/10/2018,19:30,-0.015,0.1194,93.7,1.2,1.2,74.467,63.775,19.3,-0.1835,35.6,1.9,3.1,4.406
LM,control,6/10/2018,19:40,-0.015,0.1187,83.7,1.2,1.2,74.077,61.506,17.5,-0.1835,31.9,1.9,1.9,4.4
LM,control,6/10/2018,19:50,-0.015,0.1187,71.2,1.2,1.2,73.645,61.848,17.5,-0.1835,26.9,0.6,1.9,4.4
LM,control,6/10/2018,20:00,-0.015,0.1187,56.2,1.2,1.2,73.256,59.572,19.6,-0.1835,21.9,0.6,0.6,4.4
LM,control,6/10/2018,20:10,-0.015,0.1187,41.2,1.2,1.2,72.869,58.971,19.4,-0.1835,16.9,0.6,0.6,4.4
LM,control,6/10/2018,20:20,-0.015,0.118,23.7,1.2,1.2,72.48,59.099,20.3,-0.1835,10.6,0.6,0.6,4.4
LM,control,6/10/2018,20:30,-0.015,0.118,11.2,1.2,1.2,72.093,55.472,22.6,-0.1835,4.4,0.6,0.6,4.4
LM,control,6/10/2018,20:40,-0.015,0.1172,3.7,1.2,1.2,71.661,55.386,21.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,20:50,-0.015,0.1172,1.2,1.2,1.2,71.317,53.865,24.6,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/10/2018,21:00,-0.0157,0.1165,1.2,1.2,1.2,70.887,52.772,25.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,21:10,-0.0157,0.1165,1.2,1.2,1.2,70.543,51.062,28.8,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/10/2018,21:20,-0.0157,0.1165,1.2,1.2,1.2,70.158,50.268,28.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,21:30,-0.015,0.1158,1.2,1.2,1.2,69.771,49.028,30.5,-0.1835,0.6,0.6,0.6,4.442
LM,control,6/10/2018,21:40,-0.0157,0.1158,1.2,1.2,1.2,69.386,49.959,32.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,21:50,-0.0157,0.1158,1.2,1.2,1.2,68.999,52.947,25.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:00,-0.015,0.1158,1.2,1.2,1.2,68.657,55.081,24.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:10,-0.015,0.115,1.2,1.2,1.2,68.313,54.037,25.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:20,-0.015,0.115,1.2,1.2,1.2,67.971,54.952,25.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:30,-0.015,0.115,1.2,1.2,1.2,67.627,47.019,38.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:40,-0.0157,0.115,1.2,1.2,1.2,67.285,43.443,43,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,22:50,-0.015,0.115,1.2,1.2,1.2,66.943,42.156,44.3,-0.1835,0.6,0.6,0.6,4.418
LM,control,6/10/2018,23:00,-0.0157,0.1143,1.2,1.2,1.2,66.643,43.488,39.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,23:10,-0.0157,0.1143,1.2,1.2,1.2,66.301,42.017,45.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,23:20,-0.0157,0.1143,1.2,1.2,1.2,66,40.392,48.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,23:30,-0.0157,0.1143,1.2,1.2,1.2,65.701,40.811,45.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,23:40,-0.0157,0.1143,1.2,1.2,1.2,65.403,40.672,45.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/10/2018,23:50,-0.0157,0.1143,1.2,1.2,1.2,65.059,40.345,46.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:00,-0.015,0.1136,1.2,1.2,1.2,64.76,40.111,47.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:10,-0.015,0.1136,1.2,1.2,1.2,64.459,39.643,48.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:20,-0.0157,0.1136,1.2,1.2,1.2,64.161,39.313,50.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:30,-0.0157,0.1136,1.2,1.2,1.2,63.862,40.485,48.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:40,-0.015,0.1129,1.2,1.2,1.2,63.604,37.513,56.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,0:50,-0.015,0.1129,1.2,1.2,1.2,63.347,38.511,57.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:00,-0.015,0.1129,1.2,1.2,1.2,63.048,39.22,52.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:10,-0.015,0.1129,1.2,1.2,1.2,62.791,39.502,52.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:20,-0.015,0.1121,1.2,1.2,1.2,62.49,39.173,53.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:30,-0.015,0.1129,1.2,1.2,1.2,62.233,39.783,51.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:40,-0.015,0.1129,1.2,1.2,1.2,61.977,43.03,46.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,1:50,-0.015,0.1121,1.2,1.2,1.2,61.761,41.277,50.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:00,-0.015,0.1121,1.2,1.2,1.2,61.506,37.942,58.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:10,-0.015,0.1121,1.2,1.2,1.2,61.29,37.751,57.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:20,-0.015,0.1114,1.2,1.2,1.2,61.032,36.505,60.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:30,-0.015,0.1107,1.2,1.2,1.2,60.775,34.174,65.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:40,-0.015,0.1107,1.2,1.2,1.2,60.561,34.761,64.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,2:50,-0.015,0.1107,1.2,1.2,1.2,60.346,35.249,62.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:00,-0.015,0.1107,1.2,1.2,1.2,60.089,36.12,63.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:10,-0.015,0.1107,1.2,1.2,1.2,59.916,35.928,63.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:20,-0.015,0.1107,1.2,1.2,1.2,59.659,34.272,66.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:30,-0.015,0.11,1.2,1.2,1.2,59.445,35.346,63.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:40,-0.015,0.11,1.2,1.2,1.2,59.229,34.516,66.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,3:50,-0.015,0.11,1.2,1.2,1.2,59.014,34.124,66.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,4:00,-0.015,0.11,1.2,1.2,1.2,58.798,34.371,65.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,4:10,-0.015,0.11,1.2,1.2,1.2,58.582,33.287,68,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,4:20,-0.015,0.11,1.2,1.2,1.2,58.368,32.841,69.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,4:30,-0.015,0.1092,1.2,1.2,1.2,58.195,31.44,74.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,4:40,-0.0142,0.1092,1.2,1.2,1.2,57.979,31.892,73,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/11/2018,4:50,-0.015,0.1092,1.2,1.2,1.2,57.765,31.743,68.8,-0.1835,0.6,0.6,0.6,4.387
LM,control,6/11/2018,5:00,-0.015,0.1092,1.2,1.2,1.2,57.549,31.138,72.6,-0.1886,0.6,0.6,0.6,4.381
LM,control,6/11/2018,5:10,-0.015,0.1085,1.2,1.2,1.2,57.333,30.987,71.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/11/2018,5:20,-0.015,0.1092,1.2,1.2,1.2,57.16,31.993,72.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/11/2018,5:30,-0.0142,0.1085,1.2,1.2,1.2,56.944,30.936,72.6,-0.1835,0.6,0.6,0.6,4.381
LM,control,6/11/2018,5:40,-0.0142,0.1092,8.7,1.2,1.2,56.728,32.592,67.4,-0.1835,3.1,0.6,0.6,4.381
LM,control,6/11/2018,5:50,-0.0142,0.1085,21.2,1.2,1.2,56.556,31.491,70.2,-0.1835,9.4,0.6,0.6,4.381
LM,control,6/11/2018,6:00,-0.015,0.1085,38.7,1.2,1.2,56.383,31.842,72.5,-0.1835,15.6,0.6,0.6,4.418
LM,control,6/11/2018,6:10,-0.015,0.1085,53.7,1.2,1.2,56.165,31.541,71,-0.1886,20.6,0.6,0.6,4.393
LM,control,6/11/2018,6:20,-0.0142,0.1085,68.7,1.2,1.2,55.992,30.225,77.2,-0.1835,26.9,1.9,1.9,4.418
LM,control,6/11/2018,6:30,-0.0142,0.1085,86.2,1.2,1.2,55.776,31.541,74.4,-0.1886,34.4,1.9,1.9,4.418
LM,control,6/11/2018,6:40,-0.0142,0.1085,328.7,6.2,11.2,55.647,36.651,72.4,-0.1835,196.9,16.9,23.1,4.406
LM,control,6/11/2018,6:50,-0.0142,0.1092,408.7,8.7,13.7,55.558,41.09,67.1,-0.1835,238.1,21.9,28.1,4.466
LM,control,6/11/2018,7:00,-0.0142,0.1085,483.7,11.2,16.2,55.429,45.036,59,-0.1835,274.4,26.9,31.9,4.418
LM,control,6/11/2018,7:10,-0.0142,0.1092,556.2,16.2,18.7,55.386,45.896,57.1,-0.1835,311.9,30.6,34.4,4.442
LM,control,6/11/2018,7:20,-0.0142,0.11,631.2,16.2,21.2,55.342,48.004,51.9,-0.1835,348.1,34.4,38.1,4.418
LM,control,6/11/2018,7:30,-0.0135,0.11,706.2,18.7,23.7,55.299,50.4,47.8,-0.1835,384.4,38.1,40.6,4.4
LM,control,6/11/2018,7:40,-0.0142,0.11,776.2,23.7,26.2,55.299,52.992,42,-0.1835,420.6,41.9,44.4,4.418
LM,control,6/11/2018,7:50,-0.0142,0.1092,848.7,26.2,28.7,55.342,54.082,36.5,-0.1835,455.6,45.6,46.9,4.4
LM,control,6/11/2018,8:00,-0.0142,0.11,921.2,28.7,31.2,55.429,56.426,36.7,-0.1835,491.9,49.4,49.4,4.418
LM,control,6/11/2018,8:10,-0.0142,0.1092,988.7,31.2,33.7,55.515,55.863,34.9,-0.1835,524.4,51.9,53.1,4.406
LM,control,6/11/2018,8:20,-0.0142,0.11,1056.2,33.7,36.2,55.647,57.333,35.2,-0.1835,559.4,55.6,55.6,4.442
LM,control,6/11/2018,8:30,-0.0142,0.11,1123.7,36.2,38.7,55.819,58.885,33.1,-0.1835,591.9,58.1,58.1,4.418
LM,control,6/11/2018,8:40,-0.0142,0.11,1186.2,38.7,41.2,55.992,59.959,34.9,-0.1835,621.9,61.9,60.6,4.4
LM,control,6/11/2018,8:50,-0.0142,0.11,1243.7,41.2,41.2,56.208,60.003,30.7,-0.1835,655.6,64.4,63.1,4.418
LM,control,6/11/2018,9:00,-0.0142,0.11,1308.7,43.7,43.7,56.469,62.49,30.6,-0.1835,684.4,66.9,64.4,4.4
LM,control,6/11/2018,9:10,-0.015,0.1107,1371.2,46.2,46.2,56.728,63.176,25.2,-0.1835,714.4,69.4,66.9,4.393
LM,control,6/11/2018,9:20,-0.0142,0.1107,1423.7,48.7,48.7,57.074,63.262,25.9,-0.1835,741.9,71.9,69.4,4.418
LM,control,6/11/2018,9:30,-0.0142,0.1107,1476.2,48.7,48.7,57.42,63.862,22.9,-0.1835,769.4,74.4,70.6,4.4
LM,control,6/11/2018,9:40,-0.0142,0.1114,1531.2,51.2,51.2,57.807,65.788,24,-0.1835,793.1,76.9,71.9,4.393
LM,control,6/11/2018,9:50,-0.0135,0.1121,1581.2,53.7,53.7,58.195,66,27,-0.1835,819.4,78.1,74.4,4.418
LM,control,6/11/2018,10:00,-0.0135,0.1121,1631.2,56.2,53.7,58.626,66.857,23.7,-0.1835,841.9,80.6,74.4,4.4
LM,control,6/11/2018,10:10,-0.0099,0.1121,1671.2,56.2,56.2,59.099,67.158,24.3,-0.1835,866.9,81.9,76.9,4.393
LM,control,6/11/2018,10:20,-0.0106,0.1121,1711.2,58.7,56.2,59.572,67.242,24.2,-0.1835,894.4,83.1,78.1,4.43
LM,control,6/11/2018,10:30,-0.0099,0.1129,1751.2,61.2,58.7,60.089,67.285,21.7,-0.1835,918.1,85.6,79.4,4.412
LM,control,6/11/2018,10:40,-0.0135,0.1129,1788.7,61.2,58.7,60.604,68.742,20.2,-0.1835,938.1,85.6,79.4,4.4
LM,control,6/11/2018,10:50,-0.0135,0.1136,1823.7,63.7,61.2,61.205,68.527,25.1,-0.1835,964.4,86.9,80.6,4.393
LM,control,6/11/2018,11:00,-0.0135,0.1136,1853.7,63.7,61.2,61.761,70.201,23.6,-0.1835,989.4,88.1,80.6,4.418
LM,control,6/11/2018,11:10,-0.0135,0.1143,1878.7,63.7,63.7,62.362,71.274,20.5,-0.1886,1013.1,89.4,80.6,4.4
LM,control,6/11/2018,11:20,-0.0135,0.1143,1903.7,66.2,63.7,62.962,71.704,19.9,-0.1835,1031.9,89.4,80.6,4.393
LM,control,6/11/2018,11:30,-0.0099,0.115,1926.2,66.2,63.7,63.561,71.447,19.4,-0.1835,1044.4,89.4,80.6,4.538
LM,control,6/11/2018,11:40,-0.0113,0.115,1948.7,66.2,66.2,64.161,72.264,20.6,-0.1835,1061.9,89.4,80.6,4.412
LM,control,6/11/2018,11:50,-0.0128,0.115,1958.7,66.2,66.2,64.803,71.447,18.9,-0.1835,1070.6,89.4,81.9,4.4
LM,control,6/11/2018,12:00,-0.0106,0.1158,1981.2,66.2,66.2,65.444,71.964,19.6,-0.1835,1084.4,89.4,81.9,4.393
LM,control,6/11/2018,12:10,-0.0092,0.1158,1983.7,66.2,66.2,66.043,72.955,21.6,-0.1835,1086.9,89.4,80.6,4.418
LM,control,6/11/2018,12:20,-0.0092,0.1165,2003.7,66.2,68.7,66.686,71.964,20,-0.1886,1094.4,89.4,81.9,4.4
LM,control,6/11/2018,12:30,-0.0135,0.1165,2003.7,66.2,68.7,67.329,72.955,18.1,-0.1835,1090.6,89.4,80.6,4.393
LM,control,6/11/2018,12:40,-0.0128,0.1172,2013.7,66.2,68.7,67.928,72.221,19.1,-0.1835,1093.1,89.4,80.6,4.393
LM,control,6/11/2018,12:50,-0.0128,0.1172,2016.2,66.2,68.7,68.527,73.256,21.2,-0.1835,1096.9,88.1,80.6,4.418
LM,control,6/11/2018,13:00,-0.0106,0.118,2013.7,66.2,66.2,69.17,72.739,19.1,-0.1835,1093.1,88.1,80.6,4.4
LM,control,6/11/2018,13:10,-0.0113,0.118,2006.2,66.2,66.2,69.771,73.558,16.8,-0.1835,1086.9,86.9,79.4,4.393
LM,control,6/11/2018,13:20,-0.0142,0.1187,2003.7,63.7,66.2,70.372,75.117,17.9,-0.1835,1086.9,86.9,78.1,4.526
LM,control,6/11/2018,13:30,-0.0099,0.1187,1998.7,63.7,66.2,70.93,73.213,18.7,-0.1835,1079.4,85.6,78.1,4.406
LM,control,6/11/2018,13:40,-0.0099,0.1187,1988.7,63.7,63.7,71.49,72.653,20.9,-0.1835,1070.6,85.6,78.1,4.393
LM,control,6/11/2018,13:50,-0.0099,0.1187,1973.7,61.2,63.7,72.05,72.783,18.3,-0.1835,1058.1,84.4,76.9,4.393
LM,control,6/11/2018,14:00,-0.0121,0.1187,1958.7,61.2,63.7,72.567,73.947,19.5,-0.1835,1045.6,83.1,76.9,4.418
LM,control,6/11/2018,14:10,-0.0121,0.1194,1941.2,58.7,61.2,73.083,72.567,16.5,-0.1835,1031.9,80.6,75.6,4.4
LM,control,6/11/2018,14:20,-0.0128,0.1194,1913.7,58.7,61.2,73.602,75.029,18.6,-0.1835,1010.6,80.6,74.4,4.393
LM,control,6/11/2018,14:30,-0.0135,0.1194,1893.7,58.7,61.2,74.077,74.467,17.6,-0.1835,994.4,79.4,74.4,4.393
LM,control,6/11/2018,14:40,-0.0113,0.1194,1866.2,56.2,58.7,74.511,74.381,18.6,-0.1835,971.9,78.1,73.1,4.412
LM,control,6/11/2018,14:50,-0.0135,0.1201,1833.7,56.2,58.7,74.986,74.25,19.5,-0.1835,946.9,75.6,71.9,4.393
LM,control,6/11/2018,15:00,-0.0106,0.1201,1801.2,53.7,58.7,75.42,74.64,18.4,-0.1835,920.6,74.4,71.9,4.393
LM,control,6/11/2018,15:10,-0.0113,0.1201,1758.7,51.2,56.2,75.81,73.386,17.6,-0.1835,899.4,73.1,69.4,4.46
LM,control,6/11/2018,15:20,-0.0128,0.1201,1726.2,51.2,56.2,76.203,74.986,19.2,-0.1835,875.6,71.9,69.4,4.4
LM,control,6/11/2018,15:30,-0.0128,0.1201,1681.2,51.2,53.7,76.55,72.696,17.8,-0.1835,853.1,71.9,68.1,4.393
LM,control,6/11/2018,15:40,-0.015,0.1201,1646.2,48.7,53.7,76.899,74.727,17.1,-0.1835,834.4,71.9,66.9,4.393
LM,control,6/11/2018,15:50,-0.0142,0.1201,1606.2,48.7,53.7,77.203,73.818,17.2,-0.1835,811.9,71.9,66.9,4.418
LM,control,6/11/2018,16:00,-0.0142,0.1201,1566.2,48.7,53.7,77.464,73.558,20.4,-0.1835,788.1,73.1,66.9,4.4
LM,control,6/11/2018,16:10,-0.0142,0.1209,1518.7,48.7,51.2,77.727,74.899,18.9,-0.1835,764.4,73.1,68.1,4.393
LM,control,6/11/2018,16:20,-0.015,0.1209,1468.7,46.2,51.2,77.945,73.947,17.2,-0.1835,740.6,71.9,68.1,4.538
LM,control,6/11/2018,16:30,-0.015,0.1209,1413.7,46.2,48.7,78.165,73.688,20,-0.1835,711.9,70.6,66.9,4.406
LM,control,6/11/2018,16:40,-0.0157,0.1209,1361.2,43.7,46.2,78.339,73.472,19.3,-0.1835,685.6,69.4,65.6,4.393
LM,control,6/11/2018,16:50,-0.0157,0.1209,1303.7,41.2,43.7,78.471,74.077,16.9,-0.1835,656.9,68.1,64.4,4.393
LM,control,6/11/2018,17:00,-0.015,0.1201,1241.2,38.7,43.7,78.602,72.05,17.5,-0.1886,625.6,65.6,63.1,4.442
LM,control,6/11/2018,17:10,-0.015,0.1201,1181.2,36.2,41.2,78.69,74.813,17.4,-0.1835,595.6,63.1,60.6,4.4
LM,control,6/11/2018,17:20,-0.015,0.1201,1113.7,33.7,38.7,78.69,73.083,16.8,-0.1835,561.9,60.6,59.4,4.393
LM,control,6/11/2018,17:30,-0.0135,0.1194,1053.7,31.2,36.2,78.69,72.007,18.8,-0.1835,531.9,56.9,56.9,4.393
LM,control,6/11/2018,17:40,-0.0157,0.1194,988.7,28.7,33.7,78.602,70.372,16.8,-0.1835,499.4,54.4,54.4,4.412
LM,control,6/11/2018,17:50,-0.0157,0.1194,923.7,26.2,31.2,78.471,71.964,16.7,-0.1835,468.1,50.6,51.9,4.4
LM,control,6/11/2018,18:00,-0.0157,0.1194,858.7,23.7,31.2,78.339,70.63,17,-0.1835,436.9,46.9,49.4,4.393
LM,control,6/11/2018,18:10,-0.0157,0.1187,791.2,21.2,28.7,78.121,69.942,17.2,-0.1835,404.4,43.1,46.9,4.442
LM,control,6/11/2018,18:20,-0.0164,0.1187,723.7,18.7,26.2,77.859,70.587,16.8,-0.1835,371.9,36.9,44.4,4.406
LM,control,6/11/2018,18:30,-0.0164,0.1187,668.7,16.2,23.7,77.553,70.459,17.5,-0.1835,345.6,31.9,41.9,4.4
LM,control,6/11/2018,18:40,-0.0164,0.118,606.2,11.2,23.7,77.247,68.657,16.1,-0.1835,315.6,25.6,39.4,4.393
LM,control,6/11/2018,18:50,-0.0164,0.118,548.7,8.7,21.2,76.899,67.885,16.9,-0.1835,289.4,21.9,36.9,4.418
LM,control,6/11/2018,19:00,-0.0164,0.118,483.7,8.7,18.7,76.507,67.028,17.6,-0.1835,255.6,16.9,33.1,4.4
LM,control,6/11/2018,19:10,-0.0164,0.1172,268.7,3.7,16.2,76.114,66.087,17.4,-0.1835,146.9,11.9,29.4,4.4
LM,control,6/11/2018,19:20,-0.0164,0.1172,303.7,1.2,11.2,75.724,64.546,17,-0.1835,163.1,6.9,21.9,4.393
LM,control,6/11/2018,19:30,-0.0164,0.1165,103.7,1.2,1.2,75.333,60.217,26.4,-0.1835,43.1,1.9,3.1,4.418
LM,control,6/11/2018,19:40,-0.0164,0.1165,93.7,1.2,1.2,74.899,55.906,27,-0.1835,39.4,1.9,3.1,4.4
LM,control,6/11/2018,19:50,-0.0171,0.1158,81.2,1.2,1.2,74.511,53.69,30.3,-0.1835,33.1,1.9,1.9,4.4
LM,control,6/11/2018,20:00,-0.0171,0.1158,61.2,1.2,1.2,74.077,52.686,31.8,-0.1835,24.4,0.6,1.9,4.4
LM,control,6/11/2018,20:10,-0.0171,0.1158,43.7,1.2,1.2,73.645,50.092,35.1,-0.1835,16.9,0.6,0.6,4.4
LM,control,6/11/2018,20:20,-0.0171,0.115,23.7,1.2,1.2,73.213,49.825,36.2,-0.1835,9.4,0.6,0.6,4.4
LM,control,6/11/2018,20:30,-0.0171,0.115,11.2,1.2,1.2,72.783,50.268,32.2,-0.1835,4.4,0.6,0.6,4.502
LM,control,6/11/2018,20:40,-0.0171,0.1143,3.7,1.2,1.2,72.351,48.895,34.3,-0.1835,1.9,0.6,0.6,4.4
LM,control,6/11/2018,20:50,-0.0171,0.1143,1.2,1.2,1.2,71.92,48.45,35.6,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/11/2018,21:00,-0.0171,0.1136,1.2,1.2,1.2,71.49,47.781,36.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,21:10,-0.0171,0.1136,1.2,1.2,1.2,71.06,47.736,35.6,-0.1835,0.6,0.6,0.6,4.4
LM,control,6/11/2018,21:20,-0.0171,0.1136,1.2,1.2,1.2,70.673,48.315,34.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,21:30,-0.0171,0.1136,1.2,1.2,1.2,70.243,49.692,31.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,21:40,-0.0171,0.1129,1.2,1.2,1.2,69.858,48.493,31.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,21:50,-0.0171,0.1129,1.2,1.2,1.2,69.471,48.36,31.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:00,-0.0171,0.1129,1.2,1.2,1.2,69.042,47.647,32.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:10,-0.0171,0.1129,1.2,1.2,1.2,68.657,47.199,33,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:20,-0.0171,0.1121,1.2,1.2,1.2,68.313,46.841,33.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:30,-0.0171,0.1121,1.2,1.2,1.2,67.971,45.851,34.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:40,-0.0171,0.1121,1.2,1.2,1.2,67.586,46.616,33.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,22:50,-0.0171,0.1121,1.2,1.2,1.2,67.242,46.391,33.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,23:00,-0.0179,0.1121,1.2,1.2,1.2,66.9,45.941,34.8,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,23:10,-0.0179,0.1121,1.2,1.2,1.2,66.6,45.262,35.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,6/11/2018,23:20,-0.0171,0.1114,1.2,1.2,1.2,66.258,44.4,37.4,-0.1835,0.6,0.6,0.6,4.393
