Plot Title: 9735540_SM_LSA_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372, LBL: LSA_B1R)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600, LBL: LSA_B1)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883, LBL: LSA_B1R)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893, LBL: LSA_B1L)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L )","RH, % (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407, LBL: LSA_B1R)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153, LBL: LSA_B1R)"
Site,Treatment,Date.Time,SWC.right,ST,PAR.right,PAR.left,PAR.up,Air.T,RH,,,SR.left,SR.up,SR.right,SWC.between
LSA,control,7/13/2019 5:39,0.0264,51.105,-888.9,1.2,1.2,37.846,91.9,-0.2039,0,0.6,0.6,0.6,0.0119
LSA,control,7/13/2019 5:49,0.0264,50.974,-888.9,1.2,1.2,38.273,92.8,-0.2039,0,0.6,0.6,0.6,0.0112
LSA,control,7/13/2019 5:59,0.0264,50.886,-888.9,1.2,1.2,39.69,89.7,-0.2039,0,0.6,4.4,0.6,0.0119
LSA,control,7/13/2019 6:09,0.0257,50.752,-888.9,1.2,1.2,38.131,92.5,-0.2039,0,0.6,6.9,0.6,0.0119
LSA,control,7/13/2019 6:19,0.0264,50.664,-888.9,1.2,1.2,38.748,92.6,-0.2039,0,0.6,8.1,0.6,0.0119
LSA,control,7/13/2019 6:29,0.0264,50.576,-888.9,1.2,1.2,39.549,91,-0.2039,0,0.6,11.9,0.6,0.0112
LSA,control,7/13/2019 6:39,0.0264,50.488,-888.9,1.2,1.2,39.36,92.2,-0.2039,0,0.6,13.1,0.6,0.0119
LSA,control,7/13/2019 6:49,0.0264,50.4,-888.9,1.2,1.2,39.549,92.3,-0.2039,0,0.6,15.6,0.6,0.0119
LSA,control,7/13/2019 6:59,0.0264,50.311,-888.9,1.2,1.2,39.877,92.3,-0.2039,0,0.6,15.6,0.6,0.0119
LSA,control,7/13/2019 7:09,0.0264,50.223,-888.9,1.2,1.2,40.579,92.3,-0.2039,0,0.6,18.1,0.6,0.0119
LSA,control,7/13/2019 7:19,0.0264,50.18,-888.9,1.2,1.2,40.532,92.3,-0.2039,0,1.9,19.4,0.6,0.0119
LSA,control,7/13/2019 7:29,0.0264,50.135,-888.9,1.2,1.2,41.369,91.7,-0.2039,0,1.9,20.6,0.6,0.0126
LSA,control,7/13/2019 7:39,0.0264,50.092,-888.9,1.2,1.2,41.322,91.7,-0.2039,0,1.9,21.9,0.6,0.0119
LSA,control,7/13/2019 7:49,0.0264,50.047,-888.9,1.2,1.2,41.648,91.7,-0.2039,0,1.9,23.1,0.6,0.0119
LSA,control,7/13/2019 7:59,0.0264,50.002,-888.9,1.2,1.2,42.156,91,-0.2039,0,1.9,24.4,1.9,0.0119
LSA,control,7/13/2019 8:09,0.0264,49.959,-888.9,1.2,1.2,43.214,89.7,-0.2039,0,1.9,26.9,1.9,0.0119
LSA,control,7/13/2019 8:19,0.0264,50.002,-888.9,23.7,1.2,56.251,78.5,-0.2039,0,90.6,288.1,68.1,0.0112
LSA,control,7/13/2019 8:29,0.0257,50.223,-888.9,26.2,1.2,66.772,63,-0.2039,0,95.6,325.6,71.9,0.0112
LSA,control,7/13/2019 8:39,0.0264,50.576,-888.9,26.2,1.2,70.201,60.8,-0.2039,0,100.6,361.9,76.9,0.0119
LSA,control,7/13/2019 8:49,0.0264,51.105,-888.9,26.2,1.2,71.791,60.3,-0.2039,0,104.4,398.1,79.4,0.0119
LSA,control,7/13/2019 8:59,0.0264,51.678,-888.9,28.7,1.2,75.942,67.1,-0.2039,0,108.1,435.6,83.1,0.0119
LSA,control,7/13/2019 9:09,0.0264,52.378,-888.9,28.7,1.2,79.963,60,-0.2039,0,110.6,468.1,84.4,0.0119
LSA,control,7/13/2019 9:19,0.0264,53.166,-888.9,31.2,1.2,81.687,60.9,-0.2039,0,113.1,499.4,86.9,0.0119
LSA,control,7/13/2019 9:29,0.0264,53.908,-888.9,31.2,1.2,81.597,61.8,-0.2039,0,115.6,533.1,89.4,0.0119
LSA,control,7/13/2019 9:39,0.0264,54.648,-888.9,33.7,1.2,82.53,58.2,-0.2039,0,120.6,575.6,94.4,0.0119
LSA,control,7/13/2019 9:49,0.0264,55.342,-888.9,33.7,1.2,83.109,52.8,-0.2039,0,124.4,610.6,96.9,0.0112
LSA,control,7/13/2019 9:59,0.0264,56.035,-888.9,36.2,1.2,84.767,57.3,-0.2039,0,126.9,648.1,99.4,0.0112
LSA,control,7/13/2019 10:09,0.0272,56.685,-888.9,36.2,3.7,82.13,54.4,-0.2039,0,129.4,676.9,101.9,0.0119
LSA,control,7/13/2019 10:19,0.0272,57.247,-888.9,36.2,1.2,82.263,52.2,-0.2039,0,125.6,669.4,98.1,0.0119
LSA,control,7/13/2019 10:29,0.0272,57.807,-888.9,36.2,11.2,79.347,48.2,-0.2039,0,131.9,721.9,104.4,0.0119
LSA,control,7/13/2019 10:39,0.0272,58.325,-888.9,38.7,36.2,81.819,59.3,-0.1988,0,134.4,750.6,106.9,0.0119
LSA,control,7/13/2019 10:49,0.0272,58.885,-888.9,38.7,51.2,83.377,51.9,-0.1988,0,138.1,793.1,110.6,0.0119
LSA,control,7/13/2019 10:59,0.0272,59.358,-888.9,38.7,41.2,78.559,50,-0.1988,0,139.4,818.1,111.9,0.0112
LSA,control,7/13/2019 11:09,0.0272,59.83,-888.9,41.2,43.7,80.184,55.4,-0.1988,0,145.6,865.6,115.6,0.0112
LSA,control,7/13/2019 11:19,0.0272,60.303,-888.9,41.2,48.7,77.77,44.3,-0.1988,0,145.6,878.1,115.6,0.0119
LSA,control,7/13/2019 11:29,0.0279,60.69,-888.9,43.7,71.2,75.942,54.8,-0.1988,0,151.9,934.4,121.9,0.0119
LSA,control,7/13/2019 11:39,0.0272,61.075,-888.9,46.2,88.7,77.815,52.1,-0.1988,0,154.4,975.6,124.4,0.0112
LSA,control,7/13/2019 11:49,0.0272,61.506,-888.9,48.7,133.7,82.53,47.8,-0.1988,0,159.4,1021.9,129.4,0.0112
LSA,control,7/13/2019 11:59,0.0279,61.934,-888.9,11.2,181.2,75.81,45.2,-0.1988,0,40.6,260.6,31.9,0.0112
LSA,control,7/13/2019 12:09,0.0279,62.062,-888.9,18.7,196.2,67.928,49.8,-0.1988,0,66.9,443.1,53.1,0.0119
LSA,control,7/13/2019 12:19,0.0279,62.148,-888.9,11.2,216.2,65.658,47.1,-0.1988,0,41.9,274.4,35.6,0.0112
LSA,control,7/13/2019 12:29,0.0279,62.191,-888.9,48.7,276.2,69.471,48.4,-0.1988,0,166.9,1133.1,138.1,0.0119
LSA,control,7/13/2019 12:39,0.0279,62.577,-888.9,53.7,241.2,81.111,40.6,-0.1988,0,174.4,1225.6,145.6,0.0112
LSA,control,7/13/2019 12:49,0.0279,62.962,-888.9,51.2,546.2,82.308,48.8,-0.1988,0,173.1,1229.4,144.4,0.0112
LSA,control,7/13/2019 12:59,0.0279,63.433,-888.9,18.7,1086.2,80.449,44.8,-0.1988,0,61.9,413.1,51.9,0.0112
LSA,control,7/13/2019 13:09,0.0286,63.561,-888.9,16.2,1066.2,67.971,58.3,-0.1988,0,58.1,379.4,48.1,0.0126
LSA,control,7/13/2019 13:19,0.0279,63.775,-888.9,18.7,1173.7,71.19,59.1,-0.1988,0,68.1,438.1,56.9,0.0112
LSA,control,7/13/2019 13:29,0.0272,63.862,-888.9,13.7,1351.2,68.657,69.7,-0.1988,0,58.1,359.4,49.4,0.0112
LSA,control,7/13/2019 13:39,0.0279,63.903,-888.9,21.2,841.2,69.471,56.7,-0.2039,0,81.9,513.1,69.4,0.0119
LSA,control,7/13/2019 13:49,0.0279,64.074,-888.9,21.2,1468.7,71.447,48.8,-0.2039,0,81.9,519.4,70.6,0.0112
LSA,control,7/13/2019 13:59,0.0279,64.204,-888.9,31.2,911.2,74.12,64.9,-0.2039,0,110.6,745.6,94.4,0.0119
LSA,control,7/13/2019 14:09,0.0286,64.375,-888.9,23.7,1598.7,72.264,67.1,-0.2039,0,83.1,551.9,70.6,0.0119
LSA,control,7/13/2019 14:19,0.0286,64.546,-888.9,28.7,1636.2,73.947,57.7,-0.2039,0,98.1,671.9,84.4,0.0119
LSA,control,7/13/2019 14:29,0.0286,64.717,-888.9,31.2,1883.7,71.317,55.6,-0.2039,0,103.1,739.4,89.4,0.0119
LSA,control,7/13/2019 14:39,0.0279,65.059,-888.9,36.2,1906.2,78.121,64.1,-0.2039,0,121.9,919.4,103.1,0.0119
LSA,control,7/13/2019 14:49,0.0279,65.316,-888.9,53.7,571.2,77.16,53.9,-0.1988,0,174.4,1276.9,154.4,0.0112
LSA,control,7/13/2019 14:59,0.0279,65.658,-888.9,46.2,1306.2,77.815,46.7,-0.1988,0,156.9,1208.1,138.1,0.0112
LSA,control,7/13/2019 15:09,0.0279,66,-888.9,26.2,716.2,80.802,53.2,-0.1988,0,91.9,666.9,78.1,0.0112
LSA,control,7/13/2019 15:19,0.0286,66.258,-888.9,23.7,1843.7,76.811,59.5,-0.1988,0,83.1,601.9,71.9,0.0119
LSA,control,7/13/2019 15:29,0.0286,66.558,-888.9,33.7,613.7,76.725,53.9,-0.1988,0,114.4,836.9,101.9,0.0119
LSA,control,7/13/2019 15:39,0.0279,66.772,-888.9,18.7,586.2,72.093,44.5,-0.1988,0,73.1,493.1,63.1,0.0112
LSA,control,7/13/2019 15:49,0.0279,66.857,-888.9,13.7,2553.7,69.129,57,-0.1988,0,54.4,331.9,45.6,0.0105
LSA,control,7/13/2019 15:59,0.0279,66.9,-888.9,11.2,1003.7,67.928,63,-0.2039,0,49.4,291.9,43.1,0.0105
LSA,control,7/13/2019 16:09,0.0279,66.857,-888.9,11.2,528.7,67.199,62.9,-0.2039,0,45.6,264.4,39.4,0.0119
LSA,control,7/13/2019 16:19,0.0279,66.772,-888.9,11.2,928.7,65.359,66.9,-0.2039,0,43.1,246.9,38.1,0.0112
LSA,control,7/13/2019 16:29,0.0279,66.643,-888.9,8.7,733.7,65.273,55,-0.2039,0,39.4,226.9,34.4,0.0112
LSA,control,7/13/2019 16:39,0.0279,66.429,-888.9,8.7,628.7,63.133,63.3,-0.2039,0,33.1,193.1,29.4,0.0112
LSA,control,7/13/2019 16:49,0.0286,66.258,-888.9,8.7,781.2,63.176,62.6,-0.2039,0,31.9,184.4,28.1,0.0119
LSA,control,7/13/2019 16:59,0.0279,66.087,-888.9,6.2,331.2,62.62,68.5,-0.2039,0,29.4,173.1,25.6,0.0119
LSA,control,7/13/2019 17:09,0.0279,65.872,-888.9,6.2,628.7,61.376,71.7,-0.2039,0,26.9,164.4,23.1,0.0112
LSA,control,7/13/2019 17:19,0.0272,65.658,-888.9,8.7,288.7,61.032,60.4,-0.2039,0,31.9,200.6,28.1,0.0105
LSA,control,7/13/2019 17:29,0.0272,65.487,-888.9,8.7,171.2,61.848,58.1,-0.2039,0,34.4,211.9,30.6,0.0105
LSA,control,7/13/2019 17:39,0.0272,65.316,-888.9,8.7,106.2,62.447,68.3,-0.2039,0,38.1,238.1,33.1,0.0105
LSA,control,7/13/2019 17:49,0.0272,65.188,-888.9,11.2,181.2,65.017,72,-0.2039,0,46.9,300.6,41.9,0.0105
LSA,control,7/13/2019 17:59,0.0272,65.102,-888.9,11.2,193.7,64.717,62.7,-0.2039,0,46.9,296.9,41.9,0.0105
LSA,control,7/13/2019 18:09,0.0272,64.974,-888.9,6.2,273.7,61.547,76.7,-0.2039,0,28.1,185.6,25.6,0.0105
LSA,control,7/13/2019 18:19,0.0272,64.803,-888.9,6.2,246.2,59.788,79.2,-0.2039,0,25.6,166.9,21.9,0.0105
LSA,control,7/13/2019 18:29,0.0272,64.674,-888.9,6.2,118.7,59.445,78.5,-0.2039,0,25.6,163.1,21.9,0.0105
LSA,control,7/13/2019 18:39,0.0272,64.503,-888.9,6.2,108.7,60.132,76.7,-0.2039,0,23.1,146.9,20.6,0.0105
LSA,control,7/13/2019 18:49,0.0272,64.332,-888.9,3.7,46.2,58.626,76.5,-0.2039,0,19.4,118.1,16.9,0.0105
LSA,control,7/13/2019 18:59,0.0272,64.161,-888.9,3.7,66.2,61.075,77.5,-0.2039,0,19.4,118.1,16.9,0.0105
LSA,control,7/13/2019 19:09,0.0272,63.99,-888.9,8.7,151.2,59.529,83,-0.2039,0,39.4,258.1,39.4,0.0112
LSA,control,7/13/2019 19:19,0.0272,63.775,-888.9,3.7,298.7,57.074,79.3,-0.2039,0,15.6,99.4,14.4,0.0105
LSA,control,7/13/2019 19:29,0.0272,63.518,-888.9,1.2,776.2,53.733,80.1,-0.2039,0,6.9,43.1,5.6,0.0105
LSA,control,7/13/2019 19:39,0.0272,63.262,-888.9,1.2,1188.7,52.203,83.1,-0.2039,0,5.6,38.1,4.4,0.0105
LSA,control,7/13/2019 19:49,0.0272,62.919,-888.9,1.2,828.7,50.797,85,-0.2039,0,5.6,39.4,4.4,0.0105
LSA,control,7/13/2019 19:59,0.0272,62.62,-888.9,1.2,523.7,50.929,82.2,-0.2039,0,5.6,35.6,4.4,0.0105
LSA,control,7/13/2019 20:09,0.0264,62.276,-888.9,1.2,288.7,50.4,82,-0.2039,0,5.6,34.4,4.4,0.0105
LSA,control,7/13/2019 20:19,0.0264,61.977,-888.9,1.2,193.7,50.533,83,-0.2039,0,0.6,4.4,0.6,0.0105
LSA,control,7/13/2019 20:29,0.0272,61.677,-888.9,1.2,71.2,50.752,83.7,-0.2039,0,0.6,1.9,0.6,0.0105
LSA,control,7/13/2019 20:39,0.0264,61.333,-888.9,1.2,81.2,50.974,78.6,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 20:49,0.0264,61.075,-888.9,1.2,76.2,50.841,81.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 20:59,0.0264,60.818,-888.9,1.2,53.7,50.664,79.2,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 21:09,0.0264,60.517,-888.9,1.2,93.7,49.516,81.4,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 21:19,0.0264,60.26,-888.9,1.2,203.7,47.871,82.8,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 21:29,0.0264,60.003,-888.9,1.2,166.2,45.082,88,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 21:39,0.0264,59.702,-888.9,1.2,76.2,45.399,85.7,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 21:49,0.0264,59.445,-888.9,1.2,26.2,44.856,86.4,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 21:59,0.0257,59.142,-888.9,1.2,21.2,44.674,85.1,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 22:09,0.0264,58.842,-888.9,1.2,11.2,45.806,83.2,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 22:19,0.0264,58.582,-888.9,1.2,11.2,43.396,88.6,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 22:29,0.0257,58.325,-888.9,1.2,8.7,44.582,84.8,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 22:39,0.0257,58.066,-888.9,1.2,18.7,45.307,84.7,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 22:49,0.0264,57.807,-888.9,1.2,28.7,44.991,86.2,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 22:59,0.0257,57.549,-888.9,1.2,111.2,45.714,84.7,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 23:09,0.0257,57.376,-888.9,1.2,86.2,45.986,85,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 23:19,0.0264,57.16,-888.9,1.2,18.7,45.534,86.2,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 23:29,0.0264,56.944,-888.9,1.2,43.7,45.761,86.9,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 23:39,0.0264,56.772,-888.9,1.2,31.2,43.671,89.8,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/13/2019 23:49,0.0264,56.599,-888.9,1.2,28.7,42.202,92.9,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/13/2019 23:59,0.0264,56.383,-888.9,1.2,41.2,43.351,90.8,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 0:09,0.0257,56.208,-888.9,1.2,58.7,43.945,88.4,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 0:19,0.0264,55.992,-888.9,1.2,33.7,43.808,89.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 0:29,0.0257,55.819,-888.9,1.2,16.2,43.763,90.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 0:39,0.0264,55.647,-888.9,1.2,6.2,44.582,89,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 0:49,0.0264,55.472,-888.9,1.2,1.2,44.445,89.1,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 0:59,0.0257,55.299,-888.9,1.2,1.2,44.263,88.8,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 1:09,0.0257,55.125,-888.9,1.2,1.2,42.525,91.8,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 1:19,0.0257,54.995,-888.9,1.2,1.2,44.218,89.7,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 1:29,0.0257,54.865,-888.9,1.2,1.2,43.306,90.4,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 1:39,0.0257,54.691,-888.9,1.2,1.2,42.8,90.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 1:49,0.025,54.561,-888.9,1.2,1.2,42.109,92.1,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 1:59,0.025,54.387,-888.9,1.2,1.2,41.322,94.2,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 2:09,0.0257,54.255,-888.9,1.2,1.2,42.433,91.4,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 2:19,0.0257,54.082,-888.9,1.2,1.2,41.878,92.7,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 2:29,0.0257,53.908,-888.9,1.2,1.2,41.74,92.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 2:39,0.025,53.776,-888.9,1.2,1.2,43.075,90.6,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 2:49,0.025,53.602,-888.9,1.2,1.2,43.259,89.2,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 2:59,0.0257,53.472,-888.9,1.2,1.2,42.156,90.6,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 3:09,0.025,53.341,-888.9,1.2,1.2,40.905,93.4,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 3:19,0.0257,53.209,-888.9,1.2,1.2,40.345,94.5,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 3:29,0.025,53.078,-888.9,1.2,1.2,41.09,93.7,-0.2039,0,0.6,0.6,0.6,0.0097
LSA,control,7/14/2019 3:39,0.0257,52.947,-888.9,1.2,1.2,40.064,94,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 3:49,0.025,52.772,-888.9,1.2,1.2,40.251,94.9,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 3:59,0.025,52.686,-888.9,1.2,1.2,41.23,94.1,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:09,0.025,52.554,-888.9,1.2,1.2,41.184,94.7,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:19,0.0257,52.423,-888.9,1.2,1.2,41.693,93.3,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:29,0.025,52.291,-888.9,1.2,1.2,41.508,93.2,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:39,0.0257,52.203,-888.9,1.2,1.2,44.582,89.2,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:49,0.0257,52.115,-888.9,1.2,1.2,42.939,91.9,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 4:59,0.0257,52.029,-888.9,1.2,1.2,42.386,93.9,-0.2039,0,0.6,0.6,0.6,0.0112
LSA,control,7/14/2019 5:09,0.0257,51.94,-888.9,1.2,1.2,44.082,91.6,-0.2039,0,0.6,0.6,0.6,0.0112
LSA,control,7/14/2019 5:19,0.025,51.895,-888.9,1.2,1.2,45.714,88.8,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 5:29,0.0257,51.809,-888.9,1.2,1.2,46.031,88.1,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 5:39,0.0257,51.809,-888.9,1.2,1.2,44.582,91.2,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 5:49,0.0257,51.721,-888.9,1.2,1.2,44.627,91.9,-0.2039,0,0.6,0.6,0.6,0.0105
LSA,control,7/14/2019 5:59,0.025,51.721,-888.9,1.2,1.2,43.853,94.2,-0.2039,0,0.6,6.9,0.6,0.0105
LSA,control,7/14/2019 6:09,0.025,51.678,-888.9,1.2,1.2,44.674,92.9,-0.2039,0,0.6,8.1,0.6,0.0105
LSA,control,7/14/2019 6:19,0.025,51.633,-888.9,1.2,1.2,45.307,91.8,-0.2039,0,0.6,11.9,0.6,0.0105
LSA,control,7/14/2019 6:29,0.0257,51.589,-888.9,1.2,1.2,45.761,91.7,-0.2039,0,3.1,24.4,3.1,0.0112
LSA,control,7/14/2019 6:39,0.025,51.589,-888.9,1.2,1.2,47.064,91,-0.2039,0,4.4,30.6,3.1,0.0105
LSA,control,7/14/2019 6:49,0.025,51.589,-888.9,1.2,1.2,48.538,88.5,-0.2039,0,8.1,49.4,6.9,0.0105
LSA,control,7/14/2019 6:59,0.025,51.633,-888.9,1.2,1.2,49.87,86.7,-0.2039,0,13.1,75.6,10.6,0.0105
LSA,control,7/14/2019 7:09,0.025,51.678,-888.9,1.2,1.2,52.16,77.6,-0.2039,0,11.9,69.4,9.4,0.0105
LSA,control,7/14/2019 7:19,0.025,51.764,-888.9,1.2,1.2,51.678,78.9,-0.2039,0,9.4,58.1,8.1,0.0105
LSA,control,7/14/2019 7:29,0.025,51.809,-888.9,1.2,1.2,50.841,84.8,-0.2039,0,11.9,75.6,9.4,0.0112
LSA,control,7/14/2019 7:39,0.025,51.895,-888.9,3.7,1.2,51.148,87.6,-0.2039,0,19.4,114.4,15.6,0.0112
LSA,control,7/14/2019 7:49,0.025,52.029,-888.9,3.7,1.2,52.246,91.1,-0.2039,0,15.6,96.9,13.1,0.0105
LSA,control,7/14/2019 7:59,0.025,52.16,-888.9,3.7,1.2,52.291,85.8,-0.2039,0,19.4,118.1,15.6,0.0105
LSA,control,7/14/2019 8:09,0.0243,52.246,-888.9,6.2,1.2,53.645,89.6,-0.2039,0,24.4,145.6,20.6,0.0105
LSA,control,7/14/2019 8:19,0.0243,52.423,-888.9,6.2,1.2,55.558,88.7,-0.2039,0,28.1,165.6,24.4,0.0105
LSA,control,7/14/2019 8:29,0.0257,52.597,-888.9,8.7,1.2,56.165,88.2,-0.2039,0,35.6,218.1,30.6,0.0112
LSA,control,7/14/2019 8:39,0.0243,52.86,-888.9,11.2,1.2,58.885,84.1,-0.2039,0,50.6,271.9,41.9,0.0105
LSA,control,7/14/2019 8:49,0.0243,53.121,-888.9,11.2,1.2,61.804,80.3,-0.2039,0,44.4,241.9,36.9,0.0105
LSA,control,7/14/2019 8:59,0.025,53.427,-888.9,8.7,1.2,59.788,84,-0.2039,0,34.4,196.9,29.4,0.0105
LSA,control,7/14/2019 9:09,0.025,53.69,-888.9,8.7,1.2,59.142,86.2,-0.2039,0,38.1,209.4,31.9,0.0105
LSA,control,7/14/2019 9:19,0.025,53.951,-888.9,11.2,1.2,59.659,83.4,-0.2039,0,44.4,216.9,35.6,0.0105
LSA,control,7/14/2019 9:29,0.0257,54.3,-888.9,16.2,1.2,71.06,72.8,-0.2039,0,61.9,296.9,49.4,0.0112
LSA,control,7/14/2019 9:39,0.025,54.691,-888.9,28.7,1.2,70.543,56.8,-0.2039,0,106.9,526.9,85.6,0.0105
LSA,control,7/14/2019 9:49,0.025,55.168,-888.9,16.2,1.2,75.942,59.7,-0.2039,0,58.1,296.9,45.6,0.0105
LSA,control,7/14/2019 9:59,0.025,55.602,-888.9,33.7,3.7,73.083,55.4,-0.2039,0,124.4,630.6,96.9,0.0105
LSA,control,7/14/2019 10:09,0.025,56.122,-888.9,36.2,6.2,73.213,64.6,-0.2039,0,138.1,723.1,108.1,0.0105
LSA,control,7/14/2019 10:19,0.0257,56.469,-888.9,3.7,6.2,62.62,67.5,-0.2039,0,14.4,83.1,10.6,0.0105
LSA,control,7/14/2019 10:29,0.0257,56.858,-888.9,38.7,11.2,66.943,68,-0.2039,0,140.6,766.9,110.6,0.0097
LSA,control,7/14/2019 10:39,0.0264,57.204,-888.9,31.2,16.2,62.791,67.8,-0.2039,0,113.1,639.4,90.6,0.0112
LSA,control,7/14/2019 10:49,0.0257,57.636,-888.9,43.7,8.7,77.99,61.8,-0.2039,0,158.1,903.1,125.6,0.0105
LSA,control,7/14/2019 10:59,0.0264,58.195,-888.9,46.2,28.7,79.084,45.1,-0.2039,0,163.1,951.9,129.4,0.0112
LSA,control,7/14/2019 11:09,0.0264,58.712,-888.9,43.7,61.2,80.096,45.1,-0.2039,0,156.9,925.6,124.4,0.0105
LSA,control,7/14/2019 11:19,0.0257,59.272,-888.9,26.2,63.7,78.514,45.3,-0.2039,0,91.9,559.4,73.1,0.0105
LSA,control,7/14/2019 11:29,0.0264,59.572,-888.9,16.2,96.2,67.627,57.2,-0.1988,0,65.6,371.9,53.1,0.0105
LSA,control,7/14/2019 11:39,0.0264,59.959,-888.9,38.7,76.2,71.447,60.4,-0.1988,0,136.9,821.9,110.6,0.0105
LSA,control,7/14/2019 11:49,0.0264,60.217,-888.9,21.2,93.7,67.199,65.8,-0.2039,0,79.4,469.4,64.4,0.0105
LSA,control,7/14/2019 11:59,0.0264,60.474,-888.9,16.2,86.2,66.429,60.6,-0.2039,0,60.6,359.4,50.6,0.0112
LSA,control,7/14/2019 12:09,0.0264,60.69,-888.9,21.2,111.2,67.372,61.8,-0.2039,0,75.6,464.4,63.1,0.0105
LSA,control,7/14/2019 12:19,0.0264,60.948,-888.9,23.7,136.2,67.885,56.6,-0.2039,0,80.6,516.9,66.9,0.0112
