"Plot Title: 20139117_SM_LSA_A2_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139117, SEN S/N: 20145939, LBL: A2_Lmeadow)","Temp, °F (LGR S/N: 20139117, SEN S/N: 20399270, LBL: A2L_meadow)"
213,07/21/19 11:00:01 AM,0.1382,57.463
214,07/21/19 12:00:01 PM,0.1375,60.174
215,07/21/19 01:00:01 PM,0.1370,63.262
216,07/21/19 02:00:01 PM,0.1361,65.829
217,07/21/19 03:00:01 PM,0.1361,67.114
218,07/21/19 04:00:01 PM,0.1361,67.586
219,07/21/19 05:00:01 PM,0.1361,67.456
220,07/21/19 06:00:01 PM,0.1361,66.985
221,07/21/19 07:00:01 PM,0.1361,66.258
222,07/21/19 08:00:01 PM,0.1366,65.145
223,07/21/19 09:00:01 PM,0.1366,63.689
224,07/21/19 10:00:01 PM,0.1370,62.233
225,07/21/19 11:00:01 PM,0.1370,60.991
226,07/22/19 12:00:01 AM,0.1375,59.873
227,07/22/19 01:00:01 AM,0.1370,58.798
228,07/22/19 02:00:01 AM,0.1375,57.893
229,07/22/19 03:00:01 AM,0.1370,57.160
230,07/22/19 04:00:01 AM,0.1370,56.426
231,07/22/19 05:00:01 AM,0.1370,55.733
232,07/22/19 06:00:01 AM,0.1375,55.038
233,07/22/19 07:00:01 AM,0.1375,54.430
234,07/22/19 08:00:01 AM,0.1375,53.951
235,07/22/19 09:00:01 AM,0.1370,54.343
236,07/22/19 10:00:01 AM,0.1366,56.556
237,07/22/19 11:00:01 AM,0.1357,58.971
238,07/22/19 12:00:01 PM,0.1352,61.506
239,07/22/19 01:00:01 PM,0.1347,64.589
240,07/22/19 02:00:01 PM,0.1342,66.258
241,07/22/19 03:00:01 PM,0.1342,66.729
242,07/22/19 04:00:01 PM,0.1342,66.857
243,07/22/19 05:00:01 PM,0.1342,66.258
244,07/22/19 06:00:01 PM,0.1342,65.701
245,07/22/19 07:00:01 PM,0.1342,65.145
246,07/22/19 08:00:01 PM,0.1342,64.288
247,07/22/19 09:00:01 PM,0.1347,63.176
248,07/22/19 10:00:01 PM,0.1352,62.019
249,07/22/19 11:00:01 PM,0.1357,60.775
250,07/23/19 12:00:01 AM,0.1357,59.616
251,07/23/19 01:00:01 AM,0.1352,58.582
252,07/23/19 02:00:01 AM,0.1357,57.679
253,07/23/19 03:00:01 AM,0.1352,56.815
254,07/23/19 04:00:01 AM,0.1352,56.035
255,07/23/19 05:00:01 AM,0.1352,55.342
256,07/23/19 06:00:01 AM,0.1352,54.691
257,07/23/19 07:00:01 AM,0.1352,54.082
258,07/23/19 08:00:01 AM,0.1357,53.690
259,07/23/19 09:00:01 AM,0.1352,54.037
260,07/23/19 10:00:01 AM,0.1347,56.208
261,07/23/19 11:00:01 AM,0.1342,58.455
262,07/23/19 12:00:01 PM,0.1335,60.647
263,07/23/19 01:00:01 PM,0.1335,62.834
264,07/23/19 02:00:01 PM,0.1331,64.033
265,07/23/19 03:00:01 PM,0.1326,64.974
266,07/23/19 04:00:01 PM,0.1326,65.829
267,07/23/19 05:00:01 PM,0.1326,65.872
268,07/23/19 06:00:01 PM,0.1326,65.102
269,07/23/19 07:00:01 PM,0.1326,64.288
270,07/23/19 08:00:01 PM,0.1326,63.262
271,07/23/19 09:00:01 PM,0.1331,62.105
272,07/23/19 10:00:01 PM,0.1331,61.032
273,07/23/19 11:00:01 PM,0.1335,60.089
274,07/24/19 12:00:01 AM,0.1331,59.185
275,07/24/19 01:00:01 AM,0.1331,58.325
276,07/24/19 02:00:01 AM,0.1335,57.463
277,07/24/19 03:00:01 AM,0.1331,56.685
278,07/24/19 04:00:01 AM,0.1335,55.992
279,07/24/19 05:00:01 AM,0.1331,55.299
280,07/24/19 06:00:01 AM,0.1335,54.734
281,07/24/19 07:00:01 AM,0.1335,54.343
282,07/24/19 08:00:01 AM,0.1335,54.343
283,07/24/19 09:00:01 AM,0.1331,55.081
284,07/24/19 10:00:01 AM,0.1321,56.858
285,07/24/19 11:00:01 AM,0.1317,58.928
286,07/24/19 12:00:01 PM,0.1312,60.948
287,07/24/19 01:00:01 PM,0.1312,64.033
288,07/24/19 02:00:01 PM,0.1307,66.301
289,07/24/19 03:00:01 PM,0.1307,67.285
290,07/24/19 04:00:01 PM,0.1307,67.199
291,07/24/19 05:00:01 PM,0.1302,66.857
292,07/24/19 06:00:01 PM,0.1307,66.558
293,07/24/19 07:00:01 PM,0.1307,65.959
294,07/24/19 08:00:01 PM,0.1312,64.931
295,07/24/19 09:00:01 PM,0.1312,63.775
296,07/24/19 10:00:01 PM,0.1302,62.661
297,07/24/19 11:00:01 PM,0.1290,61.547
298,07/25/19 12:00:01 AM,0.1290,60.517
299,07/25/19 01:00:01 AM,0.1285,59.659
300,07/25/19 02:00:01 AM,0.1285,58.842
301,07/25/19 03:00:01 AM,0.1285,58.023
302,07/25/19 04:00:01 AM,0.1285,57.160
303,07/25/19 05:00:01 AM,0.1285,56.295
304,07/25/19 06:00:01 AM,0.1285,55.602
305,07/25/19 07:00:01 AM,0.1281,55.125
306,07/25/19 08:00:01 AM,0.1285,54.995
307,07/25/19 09:00:01 AM,0.1281,55.602
308,07/25/19 10:00:01 AM,0.1276,57.333
309,07/25/19 11:00:01 AM,0.1271,59.014
310,07/25/19 12:00:01 PM,0.1276,60.003
311,07/25/19 01:00:01 PM,0.1271,61.419
312,07/25/19 02:00:01 PM,0.1271,62.748
313,07/25/19 03:00:01 PM,0.1271,63.604
314,07/25/19 04:00:01 PM,0.1276,64.459
315,07/25/19 05:00:01 PM,0.1271,64.717
316,07/25/19 06:00:01 PM,0.1281,64.503
317,07/25/19 07:00:01 PM,0.1281,63.903
318,07/25/19 08:00:01 PM,0.1281,62.962
319,07/25/19 09:00:01 PM,0.1281,61.977
320,07/25/19 10:00:01 PM,0.1281,61.119
321,07/25/19 11:00:01 PM,0.1281,60.089
322,07/26/19 12:00:01 AM,0.1281,59.099
323,07/26/19 01:00:01 AM,0.1281,58.368
324,07/26/19 02:00:01 AM,0.1285,57.592
325,07/26/19 03:00:01 AM,0.1281,57.074
326,07/26/19 04:00:01 AM,0.1281,56.599
327,07/26/19 05:00:01 AM,0.1285,56.122
328,07/26/19 06:00:01 AM,0.1285,55.863
329,07/26/19 07:00:01 AM,0.1281,55.602
330,07/26/19 08:00:01 AM,0.1285,55.647
331,07/26/19 09:00:01 AM,0.1281,55.949
332,07/26/19 10:00:01 AM,0.1281,56.728
333,07/26/19 11:00:01 AM,0.1276,57.636
334,07/26/19 12:00:01 PM,0.1276,58.712
335,07/26/19 01:00:01 PM,0.1271,59.229
336,07/26/19 02:00:01 PM,0.1271,60.433
337,07/26/19 03:00:01 PM,0.1266,60.775
338,07/26/19 04:00:01 PM,0.1229,60.733
339,07/26/19 05:00:01 PM,0.1194,60.390
340,07/26/19 06:00:01 PM,0.1199,60.433
341,07/26/19 07:00:01 PM,0.1204,60.303
342,07/26/19 08:00:01 PM,0.1204,59.745
343,07/26/19 09:00:01 PM,0.1209,58.842
344,07/26/19 10:00:01 PM,0.1224,58.066
345,07/26/19 11:00:01 PM,0.1199,57.506
346,07/27/19 12:00:01 AM,0.1246,57.031
347,07/27/19 01:00:01 AM,0.1396,56.426
348,07/27/19 02:00:01 AM,0.1538,55.647
349,07/27/19 03:00:01 AM,0.1695,54.952
350,07/27/19 04:00:01 AM,0.1807,54.169
351,07/27/19 05:00:01 AM,0.1904,53.341
352,07/27/19 06:00:01 AM,0.1967,52.641
353,07/27/19 07:00:01 AM,0.1976,52.029
354,07/27/19 08:00:01 AM,0.1963,51.544
355,07/27/19 09:00:01 AM,0.1570,51.721
356,07/27/19 10:00:01 AM,0.1204,53.602
357,07/27/19 11:00:01 AM,0.1204,56.340
358,07/27/19 12:00:01 PM,0.1204,58.842
359,07/27/19 01:00:01 PM,0.1209,61.720
360,07/27/19 02:00:01 PM,0.1214,63.775
361,07/27/19 03:00:01 PM,0.3043,62.962
362,07/27/19 04:00:01 PM,0.2919,61.848
363,07/27/19 05:00:01 PM,0.2684,62.062
364,07/27/19 06:00:01 PM,0.2639,62.447
365,07/27/19 07:00:01 PM,0.2712,62.191
366,07/27/19 08:00:01 PM,0.3080,61.290
367,07/27/19 09:00:01 PM,0.3265,60.217
368,07/27/19 10:00:01 PM,0.3563,59.185
369,07/27/19 11:00:01 PM,0.3740,58.109
370,07/28/19 12:00:01 AM,0.3605,57.333
371,07/28/19 01:00:01 AM,0.3578,56.858
372,07/28/19 02:00:01 AM,0.3666,56.383
373,07/28/19 03:00:01 AM,0.3822,55.992
374,07/28/19 04:00:01 AM,0.4128,55.515
375,07/28/19 05:00:01 AM,0.4081,54.995
376,07/28/19 06:00:01 AM,0.4236,-888.880
377,07/28/19 07:00:01 AM,0.4401,-888.880
378,07/28/19 08:00:01 AM,0.4795,-888.880
379,07/28/19 09:00:01 AM,0.4102,-888.880
380,07/28/19 10:00:01 AM,0.3655,-888.880
381,07/28/19 11:00:01 AM,0.3087,-888.880
382,07/28/19 12:00:01 PM,0.2796,-888.880
383,07/28/19 01:00:01 PM,0.2749,-888.880
384,07/28/19 02:00:01 PM,0.2756,-888.880
385,07/28/19 03:00:01 PM,0.2874,-888.880
386,07/28/19 04:00:01 PM,0.2973,-888.880
387,07/28/19 05:00:01 PM,0.3148,-888.880
388,07/28/19 06:00:01 PM,0.3573,-888.880
389,07/28/19 07:00:01 PM,0.3934,-888.880
