"Plot Title: 2021997"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021997, SEN S/N: 2373627)","Temp, °F (LGR S/N: 2021997, SEN S/N: 9721342)","RH, % (LGR S/N: 2021997, SEN S/N: 9721342)","Water Content, m³/m³ (LGR S/N: 2021997, SEN S/N: 20152222)"
246,05/25/18 07:33:01 PM,61.075,54.255,29.300,0.1917
247,05/25/18 08:33:01 PM,58.541,47.914,32.500,0.1923
248,05/25/18 09:33:01 PM,56.208,43.259,38.600,0.1923
249,05/25/18 10:33:01 PM,54.169,41.137,43.400,0.1913
250,05/25/18 11:33:01 PM,52.335,38.700,54.900,0.1913
251,05/26/18 12:33:01 AM,50.752,38.606,39.900,0.1908
252,05/26/18 01:33:01 AM,49.338,36.072,50.700,0.1908
253,05/26/18 02:33:01 AM,48.004,35.152,50.600,0.1908
254,05/26/18 03:33:01 AM,46.796,34.957,49.900,0.1908
255,05/26/18 04:33:01 AM,45.714,33.237,54.900,0.1891
256,05/26/18 05:33:01 AM,44.809,38.606,44.100,0.1885
257,05/26/18 06:33:01 AM,43.990,35.685,49.300,0.1891
258,05/26/18 07:33:01 AM,43.351,35.976,50.200,0.1895
259,05/26/18 08:33:01 AM,43.808,55.515,35.200,0.1895
260,05/26/18 09:33:01 AM,48.895,62.791,26.300,0.1881
261,05/26/18 10:33:01 AM,54.082,66.043,20.000,0.1872
262,05/26/18 11:33:01 AM,58.411,67.500,18.300,0.1853
263,05/26/18 12:33:01 PM,61.162,66.600,15.200,0.1849
264,05/26/18 01:33:01 PM,60.991,63.304,16.300,0.1849
265,05/26/18 02:33:01 PM,60.517,64.589,15.900,0.1849
266,05/26/18 03:33:01 PM,60.089,62.406,15.800,0.1843
267,05/26/18 04:33:01 PM,58.971,60.260,19.600,0.1853
268,05/26/18 05:33:01 PM,57.765,59.358,19.500,0.1859
269,05/26/18 06:33:01 PM,56.642,58.928,21.100,0.1859
270,05/26/18 07:33:01 PM,55.733,55.819,24.700,0.1859
271,05/26/18 08:33:01 PM,54.255,52.466,27.200,0.1859
272,05/26/18 09:33:01 PM,52.554,44.173,37.900,0.1859
273,05/26/18 10:33:01 PM,50.974,39.924,49.800,0.1859
274,05/26/18 11:33:01 PM,49.649,41.648,46.200,0.1859
275,05/27/18 12:33:01 AM,48.895,42.478,52.300,0.1859
276,05/27/18 01:33:01 AM,48.049,40.764,47.600,0.1859
277,05/27/18 02:33:01 AM,47.064,38.557,61.700,0.1859
278,05/27/18 03:33:01 AM,46.436,36.554,65.400,0.1859
279,05/27/18 04:33:01 AM,45.489,32.691,74.400,0.1859
280,05/27/18 05:33:01 AM,44.492,33.485,68.400,0.1862
281,05/27/18 06:33:01 AM,43.579,32.940,67.700,0.1862
282,05/27/18 07:33:01 AM,42.892,33.978,67.000,0.1866
283,05/27/18 08:33:01 AM,43.396,54.255,42.600,0.1862
