Plot Title: 9735551_SM_LSA_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700889)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700899)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9719154)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9721332)","RH, % (LGR S/N: 9735551, SEN S/N: 9721332)","Voltage, V (LGR S/N: 9735551, SEN S/N: 9725502)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734411)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734415)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734419)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769151)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769152)","Batt, V (LGR S/N: 9735551)"
Site,Treatment,Date.Time,PAR.up,PAR.right,PAR.left,ST.between,Air.T,RH,,SR.up,SR.right,SR.left,SWC.between,SWC.between,
LSA,early,8/28/2019 0:50,1.2,1.2,1.2,53.602,36.361,59.1,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/28/2019 1:00,1.2,1.2,1.2,53.384,36.795,57,-0.1988,0.6,0.6,0.6,0.0264,0.0315,4.351
LSA,early,8/28/2019 1:10,1.2,1.2,1.2,53.166,34.419,62.1,-0.1988,0.6,0.6,0.6,0.0264,0.0315,4.351
LSA,early,8/28/2019 1:20,1.2,1.2,1.2,52.903,33.287,65.4,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/28/2019 1:30,1.2,1.2,1.2,52.641,31.39,69.4,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/28/2019 1:40,1.2,1.2,1.2,52.378,32.542,68.9,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/28/2019 1:50,1.2,1.2,1.2,52.115,32.841,64.6,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/28/2019 2:00,1.2,1.2,1.2,51.852,32.641,66.1,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.345
LSA,early,8/28/2019 2:10,1.2,1.2,1.2,51.589,31.339,67.9,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.345
LSA,early,8/28/2019 2:20,1.2,1.2,1.2,51.37,30.783,69.2,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.345
LSA,early,8/28/2019 2:30,1.2,1.2,1.2,51.105,31.942,66.4,-0.1988,0.6,0.6,0.6,0.0257,0.0308,4.345
LSA,early,8/28/2019 2:40,1.2,1.2,1.2,50.886,31.138,67.8,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.345
LSA,early,8/28/2019 2:50,1.2,1.2,1.2,50.621,30.936,68,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.339
LSA,early,8/28/2019 3:00,1.2,1.2,1.2,50.4,31.44,67.1,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.339
LSA,early,8/28/2019 3:10,1.2,1.2,1.2,50.18,31.942,66.3,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.339
LSA,early,8/28/2019 3:20,1.2,1.2,1.2,50.002,30.884,67.9,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 3:30,1.2,1.2,1.2,49.782,31.138,67,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 3:40,1.2,1.2,1.2,49.561,31.541,65.8,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 3:50,1.2,1.2,1.2,49.383,31.541,65.1,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 4:00,1.2,1.2,1.2,49.204,29.611,71,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 4:10,1.2,1.2,1.2,49.028,30.429,68.6,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 4:20,1.2,1.2,1.2,48.85,30.936,67.4,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.339
LSA,early,8/28/2019 4:30,1.2,1.2,1.2,48.672,30.173,69.6,-0.1988,0.6,0.6,0.6,0.025,0.0293,4.339
LSA,early,8/28/2019 4:40,1.2,1.2,1.2,48.493,29.817,70.3,-0.1988,0.6,0.6,0.6,0.025,0.0293,4.339
LSA,early,8/28/2019 4:50,1.2,1.2,1.2,48.315,29.457,71.7,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:00,1.2,1.2,1.2,48.137,29.304,70.6,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:10,1.2,1.2,1.2,47.959,28.269,74.7,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:20,1.2,1.2,1.2,47.781,29.509,71.7,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:30,1.2,1.2,1.2,47.602,29.867,71.1,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:40,1.2,1.2,1.2,47.422,28.787,72,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 5:50,1.2,1.2,1.2,47.244,28.008,75,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 6:00,1.2,1.2,1.2,47.109,29.199,71.3,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 6:10,1.2,1.2,1.2,46.931,29.149,71.2,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/28/2019 6:20,1.2,1.2,1.2,46.796,28.425,74.6,-0.1988,0.6,0.6,0.6,0.0243,0.0286,4.339
LSA,early,8/28/2019 6:30,6.2,1.2,1.2,46.616,29.251,72.8,-0.1988,3.1,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/28/2019 6:40,16.2,1.2,1.2,46.481,29.662,70.7,-0.1988,5.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/28/2019 6:50,28.7,1.2,1.2,46.391,29.406,70.9,-0.1988,8.1,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/28/2019 7:00,38.7,1.2,1.2,46.256,28.632,73.1,-0.1988,10.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/28/2019 7:10,48.7,1.2,1.2,46.121,29.817,72.1,-0.1988,13.1,0.6,0.6,0.0235,0.0286,4.351
LSA,early,8/28/2019 7:20,56.2,1.2,1.2,46.031,30.58,69.8,-0.1988,14.4,0.6,0.6,0.0235,0.0286,4.363
LSA,early,8/28/2019 7:30,61.2,1.2,1.2,45.941,28.994,75.6,-0.1988,15.6,0.6,0.6,0.0235,0.0286,4.375
LSA,early,8/28/2019 7:40,66.2,1.2,1.2,45.851,29.97,74.1,-0.1988,16.9,0.6,0.6,0.0235,0.0286,4.393
LSA,early,8/28/2019 7:50,71.2,1.2,1.2,45.761,29.817,75.5,-0.1988,18.1,0.6,0.6,0.0235,0.0286,4.4
LSA,early,8/28/2019 8:00,76.2,1.2,1.2,45.669,29.559,78,-0.1988,19.4,0.6,0.6,0.0235,0.0286,4.4
LSA,early,8/28/2019 8:10,81.2,1.2,1.2,45.624,30.479,76.7,-0.1988,20.6,0.6,0.6,0.0235,0.0286,4.4
LSA,early,8/28/2019 8:20,83.7,1.2,1.2,45.534,33.386,68.4,-0.1988,21.9,0.6,0.6,0.0235,0.0286,4.393
LSA,early,8/28/2019 8:30,88.7,1.2,1.2,45.534,35.152,63.5,-0.1988,23.1,0.6,0.6,0.0235,0.0286,4.393
LSA,early,8/28/2019 8:40,733.7,36.2,38.7,45.714,49.649,44.5,-0.1988,374.4,63.1,86.9,0.0235,0.0279,4.393
LSA,early,8/28/2019 8:50,813.7,38.7,43.7,46.301,57.031,37.5,-0.1988,413.1,68.1,91.9,0.0235,0.0279,4.418
LSA,early,8/28/2019 9:00,888.7,41.2,43.7,47.109,66,26.2,-0.1988,450.6,70.6,95.6,0.0228,0.0279,4.393
LSA,early,8/28/2019 9:10,961.2,43.7,46.2,48.094,67.543,25.1,-0.1988,486.9,74.4,99.4,0.0228,0.0286,4.363
LSA,early,8/28/2019 9:20,1036.2,46.2,48.7,49.116,69.085,29.2,-0.1988,523.1,78.1,100.6,0.0228,0.0286,4.393
LSA,early,8/28/2019 9:30,1103.7,51.2,48.7,50.092,76.332,25.8,-0.1988,558.1,80.6,104.4,0.0228,0.0286,4.369
LSA,early,8/28/2019 9:40,1173.7,53.7,51.2,51.105,76.332,26.6,-0.1988,589.4,83.1,106.9,0.0228,0.0286,4.448
LSA,early,8/28/2019 9:50,1241.2,56.2,53.7,52.029,78.165,24.2,-0.1988,624.4,85.6,109.4,0.0228,0.0286,4.375
LSA,early,8/28/2019 10:00,1308.7,58.7,53.7,52.947,79.48,22.7,-0.1988,655.6,88.1,111.9,0.0228,0.0286,4.363
LSA,early,8/28/2019 10:10,1371.2,61.2,56.2,53.82,75.551,22.3,-0.1988,683.1,90.6,113.1,0.0228,0.0286,4.363
LSA,early,8/28/2019 10:20,1428.7,63.7,56.2,54.734,80.227,19.7,-0.1988,714.4,93.1,114.4,0.0228,0.0293,4.43
LSA,early,8/28/2019 10:30,1486.2,66.2,58.7,55.733,83.287,17.3,-0.1988,741.9,95.6,115.6,0.0228,0.0293,4.363
LSA,early,8/28/2019 10:40,1538.7,68.7,58.7,56.772,81.111,16.5,-0.1988,769.4,98.1,118.1,0.0235,0.0293,4.369
LSA,early,8/28/2019 10:50,1598.7,71.2,58.7,57.85,77.99,15.7,-0.1988,801.9,99.4,120.6,0.0228,0.0293,4.363
LSA,early,8/28/2019 11:00,1648.7,71.2,58.7,58.798,80.272,15.6,-0.1988,821.9,100.6,120.6,0.0235,0.0293,4.369
LSA,early,8/28/2019 11:10,1693.7,73.7,61.2,59.659,82.976,13.7,-0.1988,850.6,103.1,121.9,0.0235,0.0301,4.363
LSA,early,8/28/2019 11:20,1733.7,76.2,61.2,60.561,88.259,14.9,-0.1988,823.1,104.4,121.9,0.0235,0.0301,4.369
LSA,early,8/28/2019 11:30,1776.2,76.2,63.7,61.462,86.074,12.5,-0.1988,898.1,105.6,123.1,0.0235,0.0301,4.363
LSA,early,8/28/2019 11:40,1813.7,78.7,63.7,62.191,82.665,13.8,-0.1988,916.9,106.9,124.4,0.0235,0.0308,4.381
LSA,early,8/28/2019 11:50,1848.7,78.7,63.7,62.919,85.442,12.4,-0.1988,938.1,106.9,124.4,0.0235,0.0301,4.363
LSA,early,8/28/2019 12:00,1883.7,81.2,66.2,63.604,81.509,12.8,-0.1988,960.6,109.4,125.6,0.0235,0.0308,4.381
LSA,early,8/28/2019 12:10,1906.2,81.2,66.2,64.247,80.139,12.9,-0.1988,976.9,108.1,125.6,0.0235,0.0315,4.363
LSA,early,8/28/2019 12:20,1933.7,81.2,66.2,64.845,81.376,12.9,-0.1988,996.9,109.4,124.4,0.0235,0.0315,4.393
LSA,early,8/28/2019 12:30,1948.7,81.2,68.7,65.359,83.601,12.9,-0.1988,1010.6,109.4,124.4,0.0235,0.0315,4.363
LSA,early,8/28/2019 12:40,1973.7,81.2,68.7,65.959,83.601,13,-0.1937,1028.1,109.4,124.4,0.0235,0.0322,4.442
LSA,early,8/28/2019 12:50,1983.7,81.2,68.7,66.429,83.914,12.4,-0.1988,1039.4,108.1,124.4,0.0235,0.0322,4.363
LSA,early,8/28/2019 13:00,1998.7,78.7,66.2,66.814,82.13,15,-0.1988,1041.9,106.9,124.4,0.0243,0.0322,4.363
LSA,early,8/28/2019 13:10,1998.7,78.7,66.2,67.114,80.492,15.3,-0.1988,1046.9,105.6,123.1,0.0243,0.033,4.369
LSA,early,8/28/2019 13:20,1998.7,78.7,66.2,67.456,77.77,15.2,-0.1988,1049.4,104.4,121.9,0.0243,0.033,4.363
LSA,early,8/28/2019 13:30,1998.7,76.2,66.2,67.798,82.841,14.4,-0.1988,1049.4,103.1,120.6,0.0243,0.0337,4.381
LSA,early,8/28/2019 13:40,1983.7,76.2,66.2,68.185,80.361,14.1,-0.1988,1044.4,100.6,118.1,0.0243,0.0337,4.363
LSA,early,8/28/2019 13:50,1986.2,73.7,63.7,68.571,81.952,16.8,-0.1988,1043.1,99.4,115.6,0.0243,0.0337,4.418
LSA,early,8/28/2019 14:00,1971.2,71.2,63.7,68.999,84.049,15.7,-0.1988,1029.4,96.9,114.4,0.0243,0.0344,4.369
LSA,early,8/28/2019 14:10,1963.7,68.7,61.2,69.471,83.691,15.6,-0.1988,1023.1,94.4,111.9,0.025,0.0344,4.363
LSA,early,8/28/2019 14:20,1943.7,66.2,58.7,70.029,80.361,14.9,-0.1988,1008.1,91.9,109.4,0.025,0.0344,4.381
LSA,early,8/28/2019 14:30,1923.7,63.7,58.7,70.543,83.511,15.4,-0.1988,998.1,88.1,106.9,0.025,0.0352,4.363
LSA,early,8/28/2019 14:40,1901.2,61.2,58.7,71.06,81.066,17,-0.1988,976.9,85.6,104.4,0.025,0.0352,4.442
LSA,early,8/28/2019 14:50,1868.7,58.7,53.7,71.533,79.084,17.6,-0.1988,954.4,81.9,100.6,0.025,0.0359,4.363
LSA,early,8/28/2019 15:00,1843.7,56.2,53.7,71.964,80.051,17.9,-0.1988,936.9,79.4,98.1,0.0257,0.0359,4.363
LSA,early,8/28/2019 15:10,1803.7,53.7,51.2,72.394,79.084,17.3,-0.1988,915.6,75.6,95.6,0.0257,0.0359,4.381
LSA,early,8/28/2019 15:20,1761.2,51.2,51.2,72.696,79.7,16.5,-0.1988,894.4,71.9,91.9,0.0257,0.0359,4.363
LSA,early,8/28/2019 15:30,1723.7,48.7,48.7,73.083,81.466,16.7,-0.1988,873.1,68.1,88.1,0.0257,0.0359,4.363
LSA,early,8/28/2019 15:40,1686.2,46.2,46.2,73.299,78.822,16,-0.1937,846.9,64.4,85.6,0.0257,0.0359,4.381
LSA,early,8/28/2019 15:50,1636.2,41.2,43.7,73.429,76.636,18.2,-0.1988,821.9,60.6,81.9,0.0257,0.0359,4.363
LSA,early,8/28/2019 16:00,1581.2,38.7,41.2,73.558,76.464,20,-0.1988,794.4,58.1,78.1,0.0257,0.0366,4.46
LSA,early,8/28/2019 16:10,1521.2,36.2,38.7,73.602,75.247,16.5,-0.1988,765.6,53.1,74.4,0.0257,0.0359,4.369
LSA,early,8/28/2019 16:20,1466.2,33.7,38.7,73.558,75.247,18.6,-0.1988,739.4,49.4,71.9,0.0257,0.0366,4.363
LSA,early,8/28/2019 16:30,1406.2,28.7,36.2,73.429,74.986,18.2,-0.1988,710.6,45.6,68.1,0.0257,0.0366,4.393
LSA,early,8/28/2019 16:40,1343.7,26.2,33.7,73.213,75.767,19.9,-0.1988,681.9,43.1,63.1,0.0264,0.0366,4.369
LSA,early,8/28/2019 16:50,1276.2,23.7,31.2,72.912,73.342,17.4,-0.1988,648.1,39.4,59.4,0.0264,0.0366,4.363
LSA,early,8/28/2019 17:00,1208.7,21.2,28.7,72.61,72.351,18.2,-0.1937,614.4,35.6,56.9,0.0264,0.0366,4.393
LSA,early,8/28/2019 17:10,1138.7,18.7,26.2,72.221,70.846,19.9,-0.1988,581.9,31.9,51.9,0.0264,0.0366,4.369
LSA,early,8/28/2019 17:20,1061.2,16.2,23.7,71.791,70.846,21.1,-0.1988,546.9,26.9,48.1,0.0264,0.0366,4.363
LSA,early,8/28/2019 17:30,986.2,13.7,21.2,71.404,68.999,22.1,-0.1937,510.6,23.1,43.1,0.0264,0.0366,4.393
LSA,early,8/28/2019 17:40,911.2,11.2,18.7,70.974,67.627,22.1,-0.1988,474.4,19.4,39.4,0.0272,0.0366,4.369
LSA,early,8/28/2019 17:50,831.2,8.7,16.2,70.502,66.087,22.1,-0.1988,435.6,16.9,34.4,0.0272,0.0366,4.363
LSA,early,8/28/2019 18:00,751.2,6.2,13.7,69.985,65.359,23.4,-0.1988,396.9,13.1,29.4,0.0272,0.0366,4.393
LSA,early,8/28/2019 18:10,673.7,3.7,13.7,69.514,63.99,24.8,-0.1988,360.6,9.4,25.6,0.0264,0.0366,4.381
LSA,early,8/28/2019 18:20,588.7,3.7,11.2,68.999,62.362,24.8,-0.1988,320.6,6.9,20.6,0.0264,0.0366,4.369
LSA,early,8/28/2019 18:30,503.7,1.2,6.2,68.443,61.29,29,-0.1988,279.4,4.4,14.4,0.0272,0.0359,4.406
LSA,early,8/28/2019 18:40,421.2,1.2,3.7,67.928,60.174,24.8,-0.1988,240.6,3.1,9.4,0.0272,0.0366,4.381
LSA,early,8/28/2019 18:50,83.7,1.2,1.2,67.413,58.541,25.2,-0.1988,26.9,1.9,3.1,0.0272,0.0359,4.381
LSA,early,8/28/2019 19:00,71.2,1.2,1.2,66.9,54.516,32.4,-0.1988,24.4,0.6,1.9,0.0272,0.0359,4.369
LSA,early,8/28/2019 19:10,61.2,1.2,1.2,66.344,52.16,38.1,-0.1988,20.6,0.6,0.6,0.0272,0.0359,4.381
LSA,early,8/28/2019 19:20,46.2,1.2,1.2,65.788,50.092,40,-0.1988,16.9,0.6,0.6,0.0272,0.0359,4.375
LSA,early,8/28/2019 19:30,31.2,1.2,1.2,65.273,49.737,37.5,-0.1988,11.9,0.6,0.6,0.0272,0.0352,4.393
LSA,early,8/28/2019 19:40,13.7,1.2,1.2,64.717,48.315,39.9,-0.1988,5.6,0.6,0.6,0.0272,0.0352,4.381
LSA,early,8/28/2019 19:50,3.7,1.2,1.2,64.161,45.534,46.7,-0.1988,1.9,0.6,0.6,0.0272,0.0352,4.375
LSA,early,8/28/2019 20:00,1.2,1.2,1.2,63.604,44.764,46.9,-0.1988,0.6,0.6,0.6,0.0272,0.0352,4.369
LSA,early,8/28/2019 20:10,1.2,1.2,1.2,63.048,42.984,48.9,-0.1988,0.6,0.6,0.6,0.0272,0.0344,4.369
LSA,early,8/28/2019 20:20,1.2,1.2,1.2,62.533,42.8,52.6,-0.1988,0.6,0.6,0.6,0.0264,0.0344,4.369
LSA,early,8/28/2019 20:30,1.2,1.2,1.2,61.977,42.8,49,-0.1988,0.6,0.6,0.6,0.0264,0.0344,4.369
LSA,early,8/28/2019 20:40,1.2,1.2,1.2,61.506,42.663,47.8,-0.1988,0.6,0.6,0.6,0.0264,0.0344,4.369
LSA,early,8/28/2019 20:50,1.2,1.2,1.2,61.032,41.693,49.3,-0.1988,0.6,0.6,0.6,0.0272,0.0344,4.363
LSA,early,8/28/2019 21:00,1.2,1.2,1.2,60.517,41.184,52,-0.1988,0.6,0.6,0.6,0.0264,0.0344,4.363
LSA,early,8/28/2019 21:10,1.2,1.2,1.2,60.089,39.736,54,-0.1988,0.6,0.6,0.6,0.0264,0.0344,4.363
LSA,early,8/28/2019 21:20,1.2,1.2,1.2,59.616,40.626,50.8,-0.1988,0.6,0.6,0.6,0.0264,0.0337,4.363
LSA,early,8/28/2019 21:30,1.2,1.2,1.2,59.229,40.345,50.9,-0.1988,0.6,0.6,0.6,0.0264,0.0337,4.363
LSA,early,8/28/2019 21:40,1.2,1.2,1.2,58.798,40.251,51.1,-0.1988,0.6,0.6,0.6,0.0264,0.0337,4.363
LSA,early,8/28/2019 21:50,1.2,1.2,1.2,58.411,38.889,53.1,-0.1988,0.6,0.6,0.6,0.0264,0.033,4.363
LSA,early,8/28/2019 22:00,1.2,1.2,1.2,58.023,38.226,55.1,-0.1988,0.6,0.6,0.6,0.0264,0.033,4.363
LSA,early,8/28/2019 22:10,1.2,1.2,1.2,57.636,39.36,52.2,-0.1988,0.6,0.6,0.6,0.0264,0.033,4.363
LSA,early,8/28/2019 22:20,1.2,1.2,1.2,57.29,39.69,51.3,-0.1988,0.6,0.6,0.6,0.0264,0.033,4.363
LSA,early,8/28/2019 22:30,1.2,1.2,1.2,56.944,39.502,50.9,-0.1988,0.6,0.6,0.6,0.0264,0.033,4.363
LSA,early,8/28/2019 22:40,1.2,1.2,1.2,56.642,38.415,53.7,-0.1988,0.6,0.6,0.6,0.0264,0.0322,4.363
LSA,early,8/28/2019 22:50,1.2,1.2,1.2,56.34,38.937,52,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.363
LSA,early,8/28/2019 23:00,1.2,1.2,1.2,56.035,36.505,56.8,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.363
LSA,early,8/28/2019 23:10,1.2,1.2,1.2,55.69,37.274,56.3,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.363
LSA,early,8/28/2019 23:20,1.2,1.2,1.2,55.429,38.511,52.4,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.363
LSA,early,8/28/2019 23:30,1.2,1.2,1.2,55.168,39.69,49.7,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.363
LSA,early,8/28/2019 23:40,1.2,1.2,1.2,54.909,38.889,51,-0.1988,0.6,0.6,0.6,0.0257,0.0322,4.351
LSA,early,8/28/2019 23:50,1.2,1.2,1.2,54.648,38.464,52,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/29/2019 0:00,1.2,1.2,1.2,54.387,37.702,53.4,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.357
LSA,early,8/29/2019 0:10,1.2,1.2,1.2,54.169,37.942,52.1,-0.1988,0.6,0.6,0.6,0.025,0.0315,4.351
LSA,early,8/29/2019 0:20,1.2,1.2,1.2,53.908,37.13,53.1,-0.1988,0.6,0.6,0.6,0.0257,0.0315,4.351
LSA,early,8/29/2019 0:30,1.2,1.2,1.2,53.69,35.103,58,-0.1988,0.6,0.6,0.6,0.025,0.0315,4.351
LSA,early,8/29/2019 0:40,1.2,1.2,1.2,53.427,35.928,56,-0.1988,0.6,0.6,0.6,0.025,0.0315,4.381
LSA,early,8/29/2019 0:50,1.2,1.2,1.2,53.166,36.41,53.7,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.351
LSA,early,8/29/2019 1:00,1.2,1.2,1.2,52.947,35.006,57.7,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.351
LSA,early,8/29/2019 1:10,1.2,1.2,1.2,52.686,35.395,55.7,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.351
LSA,early,8/29/2019 1:20,1.2,1.2,1.2,52.423,34.957,57.1,-0.1988,0.6,0.6,0.6,0.025,0.0308,4.351
LSA,early,8/29/2019 1:30,1.2,1.2,1.2,52.203,35.83,54.2,-0.1988,0.6,0.6,0.6,0.025,0.0301,4.351
LSA,early,8/29/2019 1:40,1.2,1.2,1.2,52.029,36.025,51.9,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 1:50,1.2,1.2,1.2,51.764,33.584,57.9,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 2:00,1.2,1.2,1.2,51.544,33.138,59.4,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 2:10,1.2,1.2,1.2,51.325,34.075,56.7,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 2:20,1.2,1.2,1.2,51.148,34.32,55.3,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 2:30,1.2,1.2,1.2,50.929,34.075,56.1,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.339
LSA,early,8/29/2019 2:40,1.2,1.2,1.2,50.709,33.681,57.1,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 2:50,1.2,1.2,1.2,50.533,32.043,61,-0.1988,0.6,0.6,0.6,0.0243,0.0301,4.345
LSA,early,8/29/2019 3:00,1.2,1.2,1.2,50.311,33.831,55.7,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.363
LSA,early,8/29/2019 3:10,1.2,1.2,1.2,50.135,33.138,58.1,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/29/2019 3:20,1.2,1.2,1.2,49.959,33.287,59,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/29/2019 3:30,1.2,1.2,1.2,49.782,32.891,60.6,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/29/2019 3:40,1.2,1.2,1.2,49.604,33.435,58.4,-0.1988,0.6,0.6,0.6,0.0243,0.0293,4.339
LSA,early,8/29/2019 3:50,1.2,1.2,1.2,49.428,33.681,57.8,-0.1988,0.6,0.6,0.6,0.0235,0.0293,4.339
LSA,early,8/29/2019 4:00,1.2,1.2,1.2,49.249,32.491,59.6,-0.1988,0.6,0.6,0.6,0.0235,0.0293,4.339
LSA,early,8/29/2019 4:10,1.2,1.2,1.2,49.073,31.39,62.7,-0.1988,0.6,0.6,0.6,0.0235,0.0293,4.339
LSA,early,8/29/2019 4:20,1.2,1.2,1.2,48.938,31.942,63.4,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 4:30,1.2,1.2,1.2,48.762,33.089,60,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 4:40,1.2,1.2,1.2,48.583,32.742,59.5,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 4:50,1.2,1.2,1.2,48.45,30.884,64,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 5:00,1.2,1.2,1.2,48.272,30.479,66.1,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 5:10,1.2,1.2,1.2,48.094,31.39,64.8,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 5:20,1.2,1.2,1.2,47.959,30.884,64.3,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 5:30,1.2,1.2,1.2,47.781,31.642,62.2,-0.1988,0.6,0.6,0.6,0.0235,0.0286,4.339
LSA,early,8/29/2019 5:40,1.2,1.2,1.2,47.602,32.043,61.6,-0.1988,0.6,0.6,0.6,0.0228,0.0286,4.339
LSA,early,8/29/2019 5:50,1.2,1.2,1.2,47.467,31.791,62.4,-0.1988,0.6,0.6,0.6,0.0228,0.0286,4.339
LSA,early,8/29/2019 6:00,1.2,1.2,1.2,47.334,30.987,63.9,-0.1988,0.6,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 6:10,1.2,1.2,1.2,47.199,30.884,64.4,-0.1988,0.6,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 6:20,1.2,1.2,1.2,47.064,30.429,66.3,-0.1988,0.6,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 6:30,3.7,1.2,1.2,46.931,31.892,63.2,-0.1988,1.9,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 6:40,11.2,1.2,1.2,46.796,31.541,64.2,-0.1988,4.4,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 6:50,23.7,1.2,1.2,46.661,32.342,63.7,-0.1988,8.1,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 7:00,38.7,1.2,1.2,46.571,32.293,65.6,-0.1988,13.1,0.6,0.6,0.0228,0.0279,4.339
LSA,early,8/29/2019 7:10,56.2,1.2,1.2,46.526,33.138,64.9,-0.1988,19.4,0.6,1.9,0.0228,0.0279,4.363
LSA,early,8/29/2019 7:20,71.2,1.2,1.2,46.436,34.907,62.6,-0.1988,24.4,1.9,1.9,0.0228,0.0279,4.393
