"Plot Title: 20393600_BaldyB2"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393600, SEN S/N: 20399030, LBL: B2_R)","Temp, °F (LGR S/N: 20393600, SEN S/N: 20399279, LBL: B2_R)"
174,06/20/18 12:00:01 AM,0.3156,48.583
175,06/20/18 01:00:01 AM,0.3156,47.647
176,06/20/18 02:00:01 AM,0.3156,46.841
177,06/20/18 03:00:01 AM,0.3156,46.031
178,06/20/18 04:00:01 AM,0.3156,45.307
179,06/20/18 05:00:01 AM,0.3151,44.627
180,06/20/18 06:00:01 AM,0.3156,43.945
181,06/20/18 07:00:01 AM,0.3156,43.396
182,06/20/18 08:00:01 AM,0.3156,43.030
183,06/20/18 09:00:01 AM,0.3156,43.396
184,06/20/18 10:00:01 AM,0.3156,44.492
185,06/20/18 11:00:01 AM,0.3160,46.076
186,06/20/18 12:00:01 PM,0.3160,47.959
187,06/20/18 01:00:01 PM,0.3156,50.047
188,06/20/18 02:00:01 PM,0.3151,51.984
189,06/20/18 03:00:01 PM,0.3151,53.776
190,06/20/18 04:00:01 PM,0.3148,55.125
191,06/20/18 05:00:01 PM,0.3151,55.733
192,06/20/18 06:00:01 PM,0.3148,55.558
193,06/20/18 07:00:01 PM,0.3148,54.952
194,06/20/18 08:00:01 PM,0.3144,54.037
195,06/20/18 09:00:01 PM,0.3144,53.035
196,06/20/18 10:00:01 PM,0.3144,51.984
197,06/20/18 11:00:01 PM,0.3140,50.974
198,06/21/18 12:00:01 AM,0.3144,50.047
199,06/21/18 01:00:01 AM,0.3140,49.116
200,06/21/18 02:00:01 AM,0.3140,48.315
201,06/21/18 03:00:01 AM,0.3140,47.512
202,06/21/18 04:00:01 AM,0.3140,46.751
203,06/21/18 05:00:01 AM,0.3140,46.076
204,06/21/18 06:00:01 AM,0.3140,45.399
205,06/21/18 07:00:01 AM,0.3140,44.764
206,06/21/18 08:00:01 AM,0.3144,44.492
207,06/21/18 09:00:01 AM,0.3144,44.946
208,06/21/18 10:00:01 AM,0.3144,46.256
209,06/21/18 11:00:01 AM,0.3148,48.004
210,06/21/18 12:00:01 PM,0.3144,50.180
211,06/21/18 01:00:01 PM,0.3140,52.335
212,06/21/18 02:00:01 PM,0.3140,54.300
213,06/21/18 03:00:01 PM,0.3144,55.819
214,06/21/18 04:00:01 PM,0.3140,56.815
215,06/21/18 05:00:01 PM,0.3136,57.117
216,06/21/18 06:00:01 PM,0.3136,56.858
217,06/21/18 07:00:01 PM,0.3133,56.122
218,06/21/18 08:00:01 PM,0.3133,55.213
219,06/21/18 09:00:01 PM,0.3128,54.255
220,06/21/18 10:00:01 PM,0.3133,53.209
221,06/21/18 11:00:01 PM,0.3128,52.246
222,06/22/18 12:00:01 AM,0.3128,51.458
223,06/22/18 01:00:01 AM,0.3128,50.752
224,06/22/18 02:00:01 AM,0.3128,50.135
225,06/22/18 03:00:01 AM,0.3133,49.561
226,06/22/18 04:00:01 AM,0.3128,48.895
227,06/22/18 05:00:01 AM,0.3128,48.137
228,06/22/18 06:00:01 AM,0.3125,47.377
229,06/22/18 07:00:01 AM,0.3128,46.661
230,06/22/18 08:00:01 AM,0.3133,46.256
231,06/22/18 09:00:01 AM,0.3133,46.481
232,06/22/18 10:00:01 AM,0.3128,47.109
233,06/22/18 11:00:01 AM,0.3128,47.914
234,06/22/18 12:00:01 PM,0.3133,49.338
235,06/22/18 01:00:01 PM,0.3128,51.193
236,06/22/18 02:00:01 PM,0.3121,52.246
237,06/22/18 03:00:01 PM,0.3125,52.641
238,06/22/18 04:00:01 PM,0.3121,52.947
239,06/22/18 05:00:01 PM,0.3121,52.992
240,06/22/18 06:00:01 PM,0.3118,52.860
241,06/22/18 07:00:01 PM,0.3118,52.509
242,06/22/18 08:00:01 PM,0.3118,51.984
243,06/22/18 09:00:01 PM,0.3121,51.237
244,06/22/18 10:00:01 PM,0.3118,50.356
245,06/22/18 11:00:01 PM,0.3118,49.428
246,06/23/18 12:00:01 AM,0.3113,48.538
247,06/23/18 01:00:01 AM,0.3113,47.736
248,06/23/18 02:00:01 AM,0.3118,46.974
249,06/23/18 03:00:01 AM,0.3113,46.256
250,06/23/18 04:00:01 AM,0.3113,45.579
251,06/23/18 05:00:01 AM,0.3113,44.946
252,06/23/18 06:00:01 AM,0.3118,44.310
253,06/23/18 07:00:01 AM,0.3113,43.716
254,06/23/18 08:00:01 AM,0.3118,43.396
255,06/23/18 09:00:01 AM,0.3118,43.763
256,06/23/18 10:00:01 AM,0.3121,44.946
257,06/23/18 11:00:01 AM,0.3118,46.661
258,06/23/18 12:00:01 PM,0.3121,48.628
259,06/23/18 01:00:01 PM,0.3118,50.664
260,06/23/18 02:00:01 PM,0.3118,52.597
261,06/23/18 03:00:01 PM,0.3113,54.255
262,06/23/18 04:00:01 PM,0.3106,55.342
263,06/23/18 05:00:01 PM,0.3113,55.776
264,06/23/18 06:00:01 PM,0.3110,55.558
265,06/23/18 07:00:01 PM,0.3110,54.952
266,06/23/18 08:00:01 PM,0.3102,54.169
267,06/23/18 09:00:01 PM,0.3102,53.298
268,06/23/18 10:00:01 PM,0.3102,52.509
269,06/23/18 11:00:01 PM,0.3102,51.721
270,06/24/18 12:00:01 AM,0.3102,50.974
271,06/24/18 01:00:01 AM,0.3102,50.356
272,06/24/18 02:00:01 AM,0.3102,49.825
273,06/24/18 03:00:01 AM,0.3102,49.249
274,06/24/18 04:00:01 AM,0.3098,48.762
275,06/24/18 05:00:01 AM,0.3102,48.182
276,06/24/18 06:00:01 AM,0.3098,47.691
