"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
210,06/19/19 04:00:01 AM,46.616,0.2347,0.2449
211,06/19/19 05:00:01 AM,46.211,0.2351,0.2456
212,06/19/19 06:00:01 AM,45.669,0.2355,0.2464
213,06/19/19 07:00:01 AM,45.172,0.2363,0.2471
214,06/19/19 08:00:01 AM,44.991,0.2367,0.2479
215,06/19/19 09:00:01 AM,45.217,0.2379,0.2483
216,06/19/19 10:00:01 AM,45.941,0.2374,0.2483
217,06/19/19 11:00:01 AM,46.974,0.2367,0.2483
218,06/19/19 12:00:01 PM,48.538,0.2363,0.2479
219,06/19/19 01:00:01 PM,50.356,0.2367,0.2475
220,06/19/19 02:00:01 PM,52.160,0.2367,0.2471
221,06/19/19 03:00:01 PM,53.820,0.2363,0.2468
222,06/19/19 04:00:01 PM,55.038,0.2363,0.2464
223,06/19/19 05:00:01 PM,55.819,0.2363,0.2460
224,06/19/19 06:00:01 PM,56.251,0.2355,0.2456
225,06/19/19 07:00:01 PM,55.949,0.2355,0.2452
226,06/19/19 08:00:01 PM,55.168,0.2367,0.2456
227,06/19/19 09:00:01 PM,54.212,0.2351,0.2460
228,06/19/19 10:00:01 PM,53.209,0.2355,0.2460
229,06/19/19 11:00:01 PM,52.246,0.2351,0.2460
230,06/20/19 12:00:01 AM,51.282,0.2351,0.2460
231,06/20/19 01:00:01 AM,50.356,0.2344,0.2464
232,06/20/19 02:00:01 AM,49.649,0.2347,0.2468
233,06/20/19 03:00:01 AM,49.073,0.2344,0.2471
234,06/20/19 04:00:01 AM,48.405,0.2344,0.2471
235,06/20/19 05:00:01 AM,47.781,0.2339,0.2471
236,06/20/19 06:00:01 AM,47.244,0.2339,0.2475
237,06/20/19 07:00:01 AM,46.886,0.2339,0.2475
238,06/20/19 08:00:01 AM,46.886,0.2347,0.2475
239,06/20/19 09:00:01 AM,47.289,0.2335,0.2479
240,06/20/19 10:00:01 AM,47.959,0.2335,0.2475
241,06/20/19 11:00:01 AM,49.073,0.2335,0.2464
242,06/20/19 12:00:01 PM,50.576,0.2323,0.2456
243,06/20/19 01:00:01 PM,52.160,0.2330,0.2449
244,06/20/19 02:00:01 PM,53.602,0.2323,0.2445
