"Plot Title: 20290165_SM_UM_C2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933, LBL: UM_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221, LBL: UM_Rshrub)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
266,06/26/19 12:00:01 PM,0.2979,0.2174,53.253
267,06/26/19 01:00:01 PM,0.2976,0.2164,55.647
268,06/26/19 02:00:01 PM,0.2976,0.2161,57.979
269,06/26/19 03:00:01 PM,0.2976,0.2153,60.132
270,06/26/19 04:00:01 PM,0.2973,0.2153,61.590
271,06/26/19 05:00:01 PM,0.2970,0.2148,62.406
272,06/26/19 06:00:01 PM,0.2966,0.2143,62.577
273,06/26/19 07:00:01 PM,0.2963,0.2134,61.977
274,06/26/19 08:00:01 PM,0.2959,0.2134,60.861
275,06/26/19 09:00:01 PM,0.2955,0.2131,59.529
276,06/26/19 10:00:01 PM,0.2959,0.2131,58.152
277,06/26/19 11:00:01 PM,0.2955,0.2131,56.815
278,06/27/19 12:00:01 AM,0.2955,0.2134,55.558
279,06/27/19 01:00:01 AM,0.2955,0.2134,54.387
280,06/27/19 02:00:01 AM,0.2955,0.2134,53.253
281,06/27/19 03:00:01 AM,0.2952,0.2134,52.203
282,06/27/19 04:00:01 AM,0.2952,0.2139,51.237
283,06/27/19 05:00:01 AM,0.2952,0.2134,50.356
284,06/27/19 06:00:01 AM,0.2952,0.2139,49.561
285,06/27/19 07:00:01 AM,0.2952,0.2139,48.938
286,06/27/19 08:00:01 AM,0.2952,0.2139,48.628
287,06/27/19 09:00:01 AM,0.2952,0.2134,49.116
288,06/27/19 10:00:01 AM,0.2952,0.2126,50.047
289,06/27/19 11:00:01 AM,0.2949,0.2126,51.413
290,06/27/19 12:00:01 PM,0.2946,0.2117,53.602
291,06/27/19 01:00:01 PM,0.2946,0.2109,56.035
292,06/27/19 02:00:01 PM,0.2942,0.2100,58.195
293,06/27/19 03:00:01 PM,0.2942,0.2095,60.089
294,06/27/19 04:00:01 PM,0.2942,0.2092,61.633
295,06/27/19 05:00:01 PM,0.2938,0.2087,62.490
296,06/27/19 06:00:01 PM,0.2932,0.2073,62.919
297,06/27/19 07:00:01 PM,0.2925,0.2064,62.577
298,06/27/19 08:00:01 PM,0.2925,0.2061,61.633
299,06/27/19 09:00:01 PM,0.2925,0.2061,60.433
300,06/27/19 10:00:01 PM,0.2922,0.2061,59.142
301,06/27/19 11:00:01 PM,0.2922,0.2064,57.850
302,06/28/19 12:00:01 AM,0.2922,0.2064,56.642
303,06/28/19 01:00:01 AM,0.2922,0.2070,55.515
304,06/28/19 02:00:01 AM,0.2925,0.2070,54.473
305,06/28/19 03:00:01 AM,0.2922,0.2070,53.472
306,06/28/19 04:00:01 AM,0.2925,0.2070,52.554
