"Plot Title: 20139116_SM_UM_C1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938, LBL: UM_Lshrub)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219, LBL: UM_Rmeadow)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
133,05/22/19 09:00:01 PM,0.3295,0.3207,37.274
134,05/22/19 10:00:01 PM,0.3282,0.3199,36.795
135,05/22/19 11:00:01 PM,0.3274,0.3192,36.459
136,05/23/19 12:00:01 AM,0.3265,0.3178,36.169
137,05/23/19 01:00:01 AM,0.3256,0.3171,35.928
138,05/23/19 02:00:01 AM,0.3249,0.3168,35.638
139,05/23/19 03:00:01 AM,0.3240,0.3160,35.443
140,05/23/19 04:00:01 AM,0.3235,0.3151,35.249
141,05/23/19 05:00:01 AM,0.3235,0.3151,35.006
142,05/23/19 06:00:01 AM,0.3231,0.3140,34.761
143,05/23/19 07:00:01 AM,0.3223,0.3136,34.615
144,05/23/19 08:00:01 AM,0.3219,0.3133,34.516
145,05/23/19 09:00:01 AM,0.3219,0.3133,35.395
146,05/23/19 10:00:01 AM,0.3216,0.3136,36.459
147,05/23/19 11:00:01 AM,0.3216,0.3133,36.939
148,05/23/19 12:00:01 PM,0.3207,0.3133,37.751
149,05/23/19 01:00:01 PM,0.3204,0.3128,38.368
150,05/23/19 02:00:01 PM,0.3204,0.3125,38.937
151,05/23/19 03:00:01 PM,0.3199,0.3121,39.220
152,05/23/19 04:00:01 PM,0.3195,0.3118,38.606
153,05/23/19 05:00:01 PM,0.3192,0.3110,38.179
154,05/23/19 06:00:01 PM,0.3192,0.3118,38.131
155,05/23/19 07:00:01 PM,0.3192,0.3113,38.131
156,05/23/19 08:00:01 PM,0.3187,0.3118,37.702
157,05/23/19 09:00:01 PM,0.3192,0.3118,37.179
158,05/23/19 10:00:01 PM,0.3192,0.3110,36.603
159,05/23/19 11:00:01 PM,0.3192,0.3110,36.120
160,05/24/19 12:00:01 AM,0.3192,0.3110,35.733
161,05/24/19 01:00:01 AM,0.3192,0.3102,35.395
162,05/24/19 02:00:01 AM,0.3195,0.3118,35.103
163,05/24/19 03:00:01 AM,0.3192,0.3118,34.858
164,05/24/19 04:00:01 AM,0.3183,0.3113,34.615
165,05/24/19 05:00:01 AM,0.3178,0.3110,34.468
166,05/24/19 06:00:01 AM,0.3187,0.3110,34.272
167,05/24/19 07:00:01 AM,0.3187,0.3106,34.174
168,05/24/19 08:00:01 AM,0.3178,0.3077,34.075
169,05/24/19 09:00:01 AM,0.3171,0.3092,34.124
170,05/24/19 10:00:01 AM,0.3171,0.3095,35.782
171,05/24/19 11:00:01 AM,0.3175,0.3098,38.511
172,05/24/19 12:00:01 PM,0.3178,0.3095,41.832
173,05/24/19 01:00:01 PM,0.3178,0.3095,45.172
174,05/24/19 02:00:01 PM,0.3178,0.3098,47.557
175,05/24/19 03:00:01 PM,0.3175,0.3095,49.116
176,05/24/19 04:00:01 PM,0.3175,0.3095,49.516
177,05/24/19 05:00:01 PM,0.3171,0.3092,49.516
178,05/24/19 06:00:01 PM,0.3171,0.3092,49.204
179,05/24/19 07:00:01 PM,0.3168,0.3087,48.182
180,05/24/19 08:00:01 PM,0.3168,0.3084,46.796
181,05/24/19 09:00:01 PM,0.3163,0.3080,45.354
182,05/24/19 10:00:01 PM,0.3163,0.3077,44.082
183,05/24/19 11:00:01 PM,0.3160,0.3077,42.800
184,05/25/19 12:00:01 AM,0.3156,0.3072,41.508
185,05/25/19 01:00:01 AM,0.3156,0.3072,40.298
186,05/25/19 02:00:01 AM,0.3156,0.3069,39.267
187,05/25/19 03:00:01 AM,0.3151,0.3087,38.322
188,05/25/19 04:00:01 AM,0.3148,0.3087,37.656
189,05/25/19 05:00:01 AM,0.3148,0.3084,37.035
190,05/25/19 06:00:01 AM,0.3148,0.3054,36.554
191,05/25/19 07:00:01 AM,0.3144,0.3051,36.120
192,05/25/19 08:00:01 AM,0.3144,0.3054,35.928
193,05/25/19 09:00:01 AM,0.3140,0.3069,36.698
194,05/25/19 10:00:01 AM,0.3140,0.3069,39.690
195,05/25/19 11:00:01 AM,0.3144,0.3066,43.808
196,05/25/19 12:00:01 PM,0.3140,0.3066,47.467
197,05/25/19 01:00:01 PM,0.3140,0.3066,50.268
198,05/25/19 02:00:01 PM,0.3140,0.3066,51.852
199,05/25/19 03:00:01 PM,0.3136,0.3066,52.772
200,05/25/19 04:00:01 PM,0.3136,0.3066,53.298
201,05/25/19 05:00:01 PM,0.3133,0.3062,53.166
202,05/25/19 06:00:01 PM,0.3133,0.3058,52.597
203,05/25/19 07:00:01 PM,0.3128,0.3058,52.115
204,05/25/19 08:00:01 PM,0.3128,0.3054,50.974
205,05/25/19 09:00:01 PM,0.3128,0.3054,49.383
206,05/25/19 10:00:01 PM,0.3125,0.3051,47.602
207,05/25/19 11:00:01 PM,0.3125,0.3051,45.896
208,05/26/19 12:00:01 AM,0.3125,0.3043,44.355
209,05/26/19 01:00:01 AM,0.3121,0.3048,43.030
210,05/26/19 02:00:01 AM,0.3121,0.3043,41.787
211,05/26/19 03:00:01 AM,0.3121,0.3037,40.719
212,05/26/19 04:00:01 AM,0.3121,0.3040,39.830
213,05/26/19 05:00:01 AM,0.3118,0.3037,38.984
214,05/26/19 06:00:01 AM,0.3121,0.3029,38.322
215,05/26/19 07:00:01 AM,0.3118,0.3033,37.702
216,05/26/19 08:00:01 AM,0.3113,0.3037,37.513
217,05/26/19 09:00:01 AM,0.3113,0.3040,39.078
218,05/26/19 10:00:01 AM,0.3113,0.3043,42.478
219,05/26/19 11:00:01 AM,0.3113,0.3040,45.986
220,05/26/19 12:00:01 PM,0.3110,0.3040,48.227
221,05/26/19 01:00:01 PM,0.3110,0.3043,48.805
222,05/26/19 02:00:01 PM,0.3110,0.3040,48.850
223,05/26/19 03:00:01 PM,0.3106,0.3037,48.583
224,05/26/19 04:00:01 PM,0.3110,0.3037,48.227
225,05/26/19 05:00:01 PM,0.3110,0.3037,47.914
226,05/26/19 06:00:01 PM,0.3106,0.3033,47.244
227,05/26/19 07:00:01 PM,0.3106,0.3033,46.526
228,05/26/19 08:00:01 PM,0.3102,0.3033,45.896
229,05/26/19 09:00:01 PM,0.3102,0.3029,45.082
230,05/26/19 10:00:01 PM,0.3102,0.3029,43.853
231,05/26/19 11:00:01 PM,0.3102,0.3026,42.616
232,05/27/19 12:00:01 AM,0.3102,0.3026,41.508
233,05/27/19 01:00:01 AM,0.3102,0.3026,40.532
234,05/27/19 02:00:01 AM,0.3098,0.3019,39.643
235,05/27/19 03:00:01 AM,0.3098,0.3022,38.889
236,05/27/19 04:00:01 AM,0.3095,0.3022,38.273
237,05/27/19 05:00:01 AM,0.3095,0.3019,37.846
238,05/27/19 06:00:01 AM,0.3095,0.3019,37.465
239,05/27/19 07:00:01 AM,0.3095,0.3019,37.225
240,05/27/19 08:00:01 AM,0.3092,0.3022,37.035
241,05/27/19 09:00:01 AM,0.3087,0.3022,37.369
242,05/27/19 10:00:01 AM,0.3092,0.3022,38.464
243,05/27/19 11:00:01 AM,0.3092,0.3026,39.830
244,05/27/19 12:00:01 PM,0.3087,0.3026,41.322
245,05/27/19 01:00:01 PM,0.3092,0.3022,43.945
246,05/27/19 02:00:01 PM,0.3092,0.3022,46.166
247,05/27/19 03:00:01 PM,0.3087,0.3022,47.377
248,05/27/19 04:00:01 PM,0.3087,0.3015,47.602
249,05/27/19 05:00:01 PM,0.3087,0.3019,47.602
250,05/27/19 06:00:01 PM,0.3084,0.3019,47.064
251,05/27/19 07:00:01 PM,0.3084,0.3019,46.616
252,05/27/19 08:00:01 PM,0.3084,0.3015,46.031
253,05/27/19 09:00:01 PM,0.3084,0.3015,44.901
254,05/27/19 10:00:01 PM,0.3080,0.3015,43.853
255,05/27/19 11:00:01 PM,0.3080,0.3011,42.892
256,05/28/19 12:00:01 AM,0.3080,0.3011,41.925
257,05/28/19 01:00:01 AM,0.3080,0.3008,41.230
258,05/28/19 02:00:01 AM,0.3080,0.3011,40.672
259,05/28/19 03:00:01 AM,0.3077,0.3008,40.204
260,05/28/19 04:00:01 AM,0.3080,0.3001,39.830
261,05/28/19 05:00:01 AM,0.3080,0.3005,39.454
262,05/28/19 06:00:01 AM,0.3077,0.3005,39.078
263,05/28/19 07:00:01 AM,0.3077,0.3005,38.795
264,05/28/19 08:00:01 AM,0.3077,0.3008,38.606
265,05/28/19 09:00:01 AM,0.3080,0.3005,38.557
266,05/28/19 10:00:01 AM,0.3077,0.3011,39.124
267,05/28/19 11:00:01 AM,0.3077,0.3011,41.043
268,05/28/19 12:00:01 PM,0.3080,0.3011,44.127
269,05/28/19 01:00:01 PM,0.3077,0.3011,47.019
270,05/28/19 02:00:01 PM,0.3077,0.3015,49.649
271,05/28/19 03:00:01 PM,0.3077,0.3015,51.633
272,05/28/19 04:00:01 PM,0.3080,0.3011,52.378
273,05/28/19 05:00:01 PM,0.3077,0.3011,52.423
274,05/28/19 06:00:01 PM,0.3077,0.3008,51.984
275,05/28/19 07:00:01 PM,0.3077,0.3008,51.237
276,05/28/19 08:00:01 PM,0.3077,0.3005,50.092
277,05/28/19 09:00:01 PM,0.3077,0.3005,48.672
278,05/28/19 10:00:01 PM,0.3077,0.3005,47.334
279,05/28/19 11:00:01 PM,0.3077,0.3005,46.031
280,05/29/19 12:00:01 AM,0.3080,0.3005,44.901
281,05/29/19 01:00:01 AM,0.3077,0.3001,44.127
282,05/29/19 02:00:01 AM,0.3077,0.3005,43.488
283,05/29/19 03:00:01 AM,0.3072,0.3001,42.892
284,05/29/19 04:00:01 AM,0.3077,0.3001,42.386
285,05/29/19 05:00:01 AM,0.3072,0.3001,41.878
286,05/29/19 06:00:01 AM,0.3072,0.3001,41.463
287,05/29/19 07:00:01 AM,0.3072,0.3001,41.043
288,05/29/19 08:00:01 AM,0.3072,0.3001,40.719
289,05/29/19 09:00:01 AM,0.3077,0.3001,40.438
290,05/29/19 10:00:01 AM,0.3084,0.3001,40.392
291,05/29/19 11:00:01 AM,0.3084,0.3008,41.648
292,05/29/19 12:00:01 PM,0.3095,0.3011,43.214
293,05/29/19 01:00:01 PM,0.3110,0.3019,46.256
294,05/29/19 02:00:01 PM,0.3121,0.3019,48.137
