Plot Title: 20290164_A2,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229)"
53,5/18/18 15:29,50.533,0.2017,0.2232
54,5/18/18 16:29,51.721,0.2012,0.2229
55,5/18/18 17:29,52.466,0.2008,0.2224
56,5/18/18 18:29,52.597,0.202,0.2219
57,5/18/18 19:29,52.115,0.202,0.2216
58,5/18/18 20:29,51.37,0.202,0.2211
59,5/18/18 21:29,50.445,0.2029,0.2211
60,5/18/18 22:29,49.383,0.2029,0.2211
61,5/18/18 23:29,48.405,0.2035,0.2211
62,5/19/18 0:29,47.377,0.2035,0.2211
63,5/19/18 1:29,46.436,0.2038,0.2216
64,5/19/18 2:29,45.579,0.2038,0.2211
65,5/19/18 3:29,44.764,0.2043,0.2216
66,5/19/18 4:29,44.037,0.2047,0.2216
67,5/19/18 5:29,43.351,0.2047,0.2216
68,5/19/18 6:29,42.616,0.2052,0.2216
69,5/19/18 7:29,42.202,0.2047,0.2224
70,5/19/18 8:29,42.247,0.2038,0.2232
71,5/19/18 9:29,42.984,0.2029,0.2229
72,5/19/18 10:29,44.492,0.2026,0.2224
73,5/19/18 11:29,45.896,0.2029,0.2219
74,5/19/18 12:29,47.064,0.202,0.2211
75,5/19/18 13:29,48.049,0.2017,0.2211
76,5/19/18 14:29,48.895,0.2012,0.2208
77,5/19/18 15:29,49.825,0.2008,0.2208
78,5/19/18 16:29,51.062,0.1994,0.2177
79,5/19/18 17:29,51.852,0.2003,0.219
80,5/19/18 18:29,51.895,0.2003,0.219
81,5/19/18 19:29,51.544,0.2017,0.2185
82,5/19/18 20:29,50.797,0.2003,0.2177
83,5/19/18 21:29,49.959,0.1876,0.219
84,5/19/18 22:29,49.116,0.1908,0.2195
85,5/19/18 23:29,48.227,0.1917,0.219
86,5/20/18 0:29,47.289,0.1954,0.2208
87,5/20/18 1:29,46.346,0.1967,0.2216
88,5/20/18 2:29,45.444,0.1985,0.2219
89,5/20/18 3:29,44.627,0.199,0.2219
90,5/20/18 4:29,43.808,0.1994,0.2219
91,5/20/18 5:29,43.075,0.2003,0.2224
92,5/20/18 6:29,42.386,0.2003,0.2229
93,5/20/18 7:29,41.832,0.1932,0.2211
94,5/20/18 8:29,41.601,0.1976,0.2241
95,5/20/18 9:29,42.064,0.2026,0.2237
96,5/20/18 10:29,43.534,0.202,0.2216
97,5/20/18 11:29,45.579,0.2012,0.2211
98,5/20/18 12:29,47.871,0.2008,0.2208
99,5/20/18 13:29,49.383,0.1985,0.2177
100,5/20/18 14:29,49.649,0.1994,0.2177
101,5/20/18 15:29,49.294,0.2003,0.219
102,5/20/18 16:29,48.805,0.2008,0.219
103,5/20/18 17:29,48.583,0.2003,0.2198
104,5/20/18 18:29,48.628,0.2003,0.2195
105,5/20/18 19:29,48.493,0.2003,0.2195
106,5/20/18 20:29,47.959,0.202,0.2195
107,5/20/18 21:29,47.109,0.202,0.2195
108,5/20/18 22:29,46.166,0.202,0.2198
109,5/20/18 23:29,45.262,0.202,0.2198
110,5/21/18 0:29,44.445,0.2026,0.2198
111,5/21/18 1:29,43.671,0.2029,0.2198
112,5/21/18 2:29,42.892,0.2029,0.2203
113,5/21/18 3:29,42.202,0.2029,0.2208
114,5/21/18 4:29,41.554,0.2035,0.2208
115,5/21/18 5:29,40.951,0.2038,0.2208
116,5/21/18 6:29,40.392,0.2038,0.2211
117,5/21/18 7:29,40.017,0.2017,0.2219
118,5/21/18 8:29,39.97,0.2029,0.2224
